"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"441 Đ. Phạm Văn Đồng, Phường 13, Bình Thạnh, Hồ Chí Minh, Việt Nam","Nhà hàng ăn nhanh","true",,,"10.8226346","106.700874","Thứ Tư","06:00 to 11:00","Thứ Năm","06:00 to 11:00","Thứ Sáu","06:00 to 11:00","Thứ Bảy","06:00 to 11:00","Chủ Nhật","Đóng cửa","Thứ Hai","06:00 to 11:00","Thứ Ba","06:00 to 11:00",,"70","Bình Thạnh, Hồ Chí Minh","441 Đ. Phạm Văn Đồng","Bánh Mì Nhanh Breadfast",,"https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20M%C3%AC%20Nhanh%20Breadfast&query_place_id=ChIJ-T5YreYpdTER5pXEHHWFJWw",,"0"
"1017 Bình Quới, Phường 28, Bình Thạnh, Hồ Chí Minh, Việt Nam","Quán ăn nhẹ","true",,,"10.8202669","106.7262605","Thứ Tư","16:00 to 23:00","Thứ Năm","16:00 to 23:00","Thứ Sáu","16:00 to 23:00","Thứ Bảy","16:00 to 23:00","Chủ Nhật","16:00 to 23:00","Thứ Hai","16:00 to 23:00","Thứ Ba","16:00 to 23:00",,"40","Bình Thạnh, Hồ Chí Minh","1017 Bình Quới","Đồ nướng Mụi Mụi","5","https://www.google.com/maps/search/?api=1&query=%C4%90%E1%BB%93%20n%C6%B0%E1%BB%9Bng%20M%E1%BB%A5i%20M%E1%BB%A5i&query_place_id=ChIJZbGLBnIndTER2BW1eYlS5K0","https://www.facebook.com/donuongmuimui/","1"
"107 Đ. Số 20, Hiệp Bình Chánh, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","Nhà hàng chuyên phục vụ bữa sáng","true",,,"10.8235028","106.7237174",,,,,,,,,,,,,,,,"51","Thủ Đức, Thành phố Hồ Chí Minh","107 Đ. Số 20","BÁNH MÌ CHẢ CÁ Cô Thu",,"https://www.google.com/maps/search/?api=1&query=B%C3%81NH%20M%C3%8C%20CH%E1%BA%A2%20C%C3%81%20C%C3%B4%20Thu&query_place_id=ChIJXejQ4JQndTER85g7Oh5BnVY",,"0"
"73rd Floor, Landmark 81, Vinhomes Tân Cảng, Bình Thạnh, Hồ Chí Minh 700000, Việt Nam","Nhà hàng","false",,,"10.7949798","106.7217893","Thứ Tư","17:00 to 22:00","Thứ Năm","17:00 to 22:00","Thứ Sáu","17:00 to 22:00","Thứ Bảy","17:00 to 22:00","Chủ Nhật","17:00 to 22:00","Thứ Hai","Đóng cửa","Thứ Ba","17:00 to 22:00",,"19","Bình Thạnh, Hồ Chí Minh","73rd Floor, Landmark 81","Truffle Restaurant","4.7","https://www.google.com/maps/search/?api=1&query=Truffle%20Restaurant&query_place_id=ChIJNUquq6YpdTERCniLES2zOvk","https://www.the-truffle.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=12327452286081852784","81"
"311/85A Nơ Trang Long, Phường 13, Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam","Nhà hàng gia đình","true",,,"10.8199789","106.6986387",,,,,,,,,,,,,,,,"93","Bình Thạnh, Thành phố Hồ Chí Minh","311/85A Nơ Trang Long","BangKy Restaurant-nhà Luân Phương Phong Đăng","5","https://www.google.com/maps/search/?api=1&query=BangKy%20Restaurant-nh%C3%A0%20Lu%C3%A2n%20Ph%C6%B0%C6%A1ng%20Phong%20%C4%90%C4%83ng&query_place_id=ChIJhfdY8zkpdTERbsQNy-az8cs",,"2"
"445 Đ. Phạm Văn Đồng, Phường 13, Bình Thạnh, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.8228014","106.7035036",,,,,,,,,,,,,,,,"94","Bình Thạnh, Hồ Chí Minh","445 Đ. Phạm Văn Đồng","Bánh Mì Lý Nhi",,"https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20M%C3%AC%20L%C3%BD%20Nhi&query_place_id=ChIJ63IW6zwpdTERJpmLSCa79mA",,"0"
"18 Đ. Phạm Văn Đồng, Phường 13, Bình Thạnh, Hồ Chí Minh 72313, Việt Nam","Nhà hàng","false",,,"10.8212419","106.6980032",,,,,,,,,,,,,,,,"92","Bình Thạnh, Hồ Chí Minh","18 Đ. Phạm Văn Đồng","Nhà Hàng Zoo Zoo Seafood","4","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Zoo%20Zoo%20Seafood&query_place_id=ChIJG0gN1g8pdTER0EnukuhQey4",,"647"
"311/9 Đ. Nguyễn Xí, Phường 13, Bình Thạnh, Hồ Chí Minh 70000, Việt Nam","Quán ăn nhẹ","false",,,"10.8214949","106.7028761","Thứ Tư","06:30 to 14:30","Thứ Năm","06:30 to 14:30","Thứ Sáu","06:30 to 14:30","Thứ Bảy","06:30 to 14:30","Chủ Nhật","06:30 to 14:30","Thứ Hai","06:30 to 14:30","Thứ Ba","06:30 to 14:30",,"91","Bình Thạnh, Hồ Chí Minh","311/9 Đ. Nguyễn Xí","CƠM TẤM - BÚN THỊT NƯỚNG - MÌ - COFEE TEA - QUÁN 59 SÀI GÒN","5","https://www.google.com/maps/search/?api=1&query=C%C6%A0M%20T%E1%BA%A4M%20-%20B%C3%9AN%20TH%E1%BB%8AT%20N%C6%AF%E1%BB%9ANG%20-%20M%C3%8C%20-%20COFEE%20TEA%20-%20QU%C3%81N%2059%20S%C3%80I%20G%C3%92N&query_place_id=ChIJV3RLBc4pdTEROFDViwN_bog",,"2"
"359b Đ. Nguyễn Xí, Phường 13, Bình Thạnh, Hồ Chí Minh, Việt Nam","Cửa hàng ăn nhanh","false","https://food.google.com/chooseprovider?restaurantId=/g/11vlbq006y&g2lbs=AOHF13kwcXo2-oRfv1Z5-kiEaMo69iz3QCRFjdZV-UD56gcgsUZL1okpcHkNaEcXfI78k4iXNUispfXsroYpPFiuByuKjadFbg%3D%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Ou9yZv_2EYep1sQP8r6E4AM&ei=Ou9yZv_2EYep1sQP8r6E4AM&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.8234658","106.7026559",,,,,,,,,,,,,,,,"90","Bình Thạnh, Hồ Chí Minh","359b Đ. Nguyễn Xí","Bánh Trứng Gà Non Và Bánh Cá Doran",,"https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20Tr%E1%BB%A9ng%20G%C3%A0%20Non%20V%C3%A0%20B%C3%A1nh%20C%C3%A1%20Doran&query_place_id=ChIJA09lp9ApdTERXfiL53KLK7Q",,"0"
"16 Đ. Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh, Việt Nam","Nhà hàng bán đồ ăn mang về","false","https://food.google.com/chooseprovider?restaurantId=/g/11s190j69l&g2lbs=AOHF13kIHdRQeN1_gBqRtPOql5vWZEz39dVlTcbbAlDxv-Cq4gHiEHJ5GuiMnM3GZmHB3muFzPqSZVgGOnLQtKNZSAx2qVpvUw%3D%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=PO9yZqn5B8_W1sQP3MWcoAE&ei=PO9yZqn5B8_W1sQP3MWcoAE&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.8201834","106.7061122","Thứ Tư","07:00 to 20:30","Thứ Năm","07:00 to 20:30","Thứ Sáu","07:00 to 20:30","Thứ Bảy","07:00 to 20:30","Chủ Nhật","07:00 to 20:30","Thứ Hai","07:00 to 20:30","Thứ Ba","07:00 to 20:30",,"84","Bình Thạnh, Hồ Chí Minh","16 Đ. Nơ Trang Long","SUSU QUÁN SINH TỐ - NƯỚC ÉP - ĂN VẶT",,"https://www.google.com/maps/search/?api=1&query=SUSU%20QU%C3%81N%20SINH%20T%E1%BB%90%20-%20N%C6%AF%E1%BB%9AC%20%C3%89P%20-%20%C4%82N%20V%E1%BA%B6T&query_place_id=ChIJh3EwVokpdTEROFXHKWE00-s",,"0"
