"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","phone","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"306 Ấp Chiến Lược, Bình Hưng Hoà A, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng","true","https://food.google.com/chooseprovider?restaurantId=/g/11h0vtqc2g&g2lbs=AOHF13lM7Ab90CviVyX4AhfdzDxs6Ba5eA3mIhCujqO2AWuK419F2n8Yt0CDDeZJCJV2ay0oLwcxIqpwjVqwPjDwheYfpzyMlw%3D%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Cd1yZur3A8Tf1sQPnaqFqAk&ei=Cd1yZur3A8Tf1sQPnaqFqAk&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.787931","106.6008098","Thứ Tư","06:00 to 21:00","Thứ Năm","06:00 to 21:00","Thứ Sáu","06:00 to 21:00","Thứ Bảy","06:00 to 21:00","Chủ Nhật","06:00 to 21:00","Thứ Hai","06:00 to 21:00","Thứ Ba","06:00 to 21:00",,,"20","Bình Tân, Hồ Chí Minh","306 Ấp Chiến Lược","Heo Quay Xá Xíu","5","https://www.google.com/maps/search/?api=1&query=Heo%20Quay%20X%C3%A1%20X%C3%ADu&query_place_id=ChIJyaxz6nMsdTERQO-giuUfFQA",,"2"
"221 Đường số 7, Bình Trị Đông B, Bình Tân, Hồ Chí Minh 700000, Việt Nam","Quán mì","false",,,"10.7514806","106.6141139","Thứ Tư","06:00 to 14:00, 17:00 to 21:00","Thứ Năm","06:00 to 14:00, 17:00 to 21:00","Thứ Sáu","06:00 to 14:00, 17:00 to 21:00","Thứ Bảy","06:00 to 14:00, 17:00 to 21:00","Chủ Nhật","06:00 to 14:00, 17:00 to 21:00","Thứ Hai","06:00 to 14:00, 17:00 to 21:00","Thứ Ba","06:00 to 14:00, 17:00 to 21:00","+84 333 619 366","$$","98","Bình Tân, Hồ Chí Minh","221 Đường số 7","Hủ Tiếu Cá Chế Khiếm","4.1","https://www.google.com/maps/search/?api=1&query=H%E1%BB%A7%20Ti%E1%BA%BFu%20C%C3%A1%20Ch%E1%BA%BF%20Khi%E1%BA%BFm&query_place_id=ChIJFV7rITMsdTERdsWpc0bxbS8",,"460"
"216 Đường Số 34, Bình Trị Đông B, Bình Tân, Hồ Chí Minh 12345, Việt Nam","Quán cà phê","false",,,"10.7501593","106.6070813","Thứ Tư","05:30 to 22:00","Thứ Năm","05:30 to 22:00","Thứ Sáu","05:30 to 22:00","Thứ Bảy","05:30 to 22:00","Chủ Nhật","05:30 to 22:00","Thứ Hai","05:30 to 22:00","Thứ Ba","05:30 to 22:00","+84 786 686 836",,"108","Bình Tân, Hồ Chí Minh","216 Đường Số 34","XPANDER COFFEE","4.5","https://www.google.com/maps/search/?api=1&query=XPANDER%20COFFEE&query_place_id=ChIJf7lmwUwtdTERqDIGxeJK3Ik","https://www.facebook.com/groups/296400469973796/?ref=share_group_link","21"
"1 Đường Số 17B, Bình Trị Đông B, Bình Tân, Hồ Chí Minh, Việt Nam","Quán ăn nhẹ","false",,,"10.7448783","106.6112","Thứ Tư","07:00 to 14:00","Thứ Năm","07:00 to 14:00","Thứ Sáu","07:00 to 14:00","Thứ Bảy","07:00 to 14:00","Chủ Nhật","07:00 to 14:00","Thứ Hai","07:00 to 14:00","Thứ Ba","07:00 to 14:00","+84 905 384 497",,"125","Bình Tân, Hồ Chí Minh","1 Đường Số 17B","Bánh Mì Chảo Tên Lửa","5","https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20M%C3%AC%20Ch%E1%BA%A3o%20T%C3%AAn%20L%E1%BB%ADa&query_place_id=ChIJyas2QQAtdTERvqUhNA7q8pI","https://www.facebook.com/banhmichaotenlua97","15"
"18 Đường số 53A, Tân Tạo, Bình Tân, Hồ Chí Minh 70930, Việt Nam","Dịch vụ giao hàng tạp hóa","false",,,"10.7523936","106.5988993","Thứ Tư","08:00 to 17:00","Thứ Năm","08:00 to 17:00","Thứ Sáu","08:00 to 17:00","Thứ Bảy","08:00 to 17:00","Chủ Nhật","Đóng cửa","Thứ Hai","08:00 to 17:00","Thứ Ba","08:00 to 17:00","+84 383 130 028",,"127","Bình Tân, Hồ Chí Minh","18 Đường số 53A","小廚味 台灣美食選物 GIA VỊ BẾP TAIWAN","5","https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E5%BB%9A%E5%91%B3%20%E5%8F%B0%E7%81%A3%E7%BE%8E%E9%A3%9F%E9%81%B8%E7%89%A9%20GIA%20V%E1%BB%8A%20B%E1%BA%BEP%20TAIWAN&query_place_id=ChIJOVBAsQwtdTERO_TrgdKzxiU","https://www.giavibep.tw/","2"
"158 Đường số 55, Tân Tạo, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng bán đồ ăn mang về","false",,,"10.7520525","106.5946773","Thứ Tư","06:00 to 11:30","Thứ Năm","06:00 to 11:30","Thứ Sáu","06:00 to 11:30","Thứ Bảy","06:00 to 11:30","Chủ Nhật","Đóng cửa","Thứ Hai","06:00 to 11:30","Thứ Ba","06:00 to 11:30","+84 367 304 583",,"124","Bình Tân, Hồ Chí Minh","158 Đường số 55","Bánh mì - xôi - bánh ướt",,"https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20m%C3%AC%20-%20x%C3%B4i%20-%20b%C3%A1nh%20%C6%B0%E1%BB%9Bt&query_place_id=ChIJ-4JO_gstdTERK2sGfSCNAkE",,"0"
"Đường số 53, Tân Tạo, Bình Tân, Hồ Chí Minh, Việt Nam","Nhà hàng cơm","false",,,"10.7510648","106.5966187","Thứ Tư","06:00 to 09:00","Thứ Năm","06:00 to 09:00","Thứ Sáu","06:00 to 09:00","Thứ Bảy","06:00 to 09:00","Chủ Nhật","Đóng cửa","Thứ Hai","06:00 to 09:00","Thứ Ba","06:00 to 09:00","+84 908 369 636",,"122","Bình Tân, Hồ Chí Minh","Đường số 53","Xôi Lá Cẩm Ngọc Hải","5","https://www.google.com/maps/search/?api=1&query=X%C3%B4i%20La%CC%81%20C%C3%A2%CC%89m%20Ngo%CC%A3c%20Ha%CC%89i&query_place_id=ChIJD_8L1rItdTERnSKUVzZ7NHc",,"3"
"34/14 Đường Số 1, Khu Phố 5, Bình Tân, Thành phố Hồ Chí Minh 700000, Việt Nam","Quán ăn nhẹ","true",,,"10.8012205","106.5934889",,,,,,,,,,,,,,,,,"120","Bình Tân, Thành phố Hồ Chí Minh","34/14 Đường Số 1","Hủ tiếu Thuỳ",,"https://www.google.com/maps/search/?api=1&query=H%E1%BB%A7%20ti%E1%BA%BFu%20Thu%E1%BB%B3&query_place_id=ChIJZdEtuNcrdTERmQJQ1nzj4M4",,"0"
"17 Đường Số 6, Bình Hưng Hoà B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam","Nhà hàng Việt Nam","false",,,"10.7942466","106.5885614",,,,,,,,,,,,,,,"+84 933 954 602",,"119","Bình Tân, Thành phố Hồ Chí Minh","17 Đường Số 6","Quán O Thương","5","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20O%20Th%C6%B0%C6%A1ng&query_place_id=ChIJUQxW4LUrdTERhwQcidlFKa0","https://www.facebook.com/Qu%C3%A1n-O-Th%C6%B0%C6%A1ng-102647735213933","1"
"QHRR+342, Đ. Liên Khu 5-6, Bình Hưng Hoà B, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam","Nhà hàng món miền Nam của Hoa Kỳ","true",,,"10.7901458","106.5902797",,,,,,,,,,,,,,,"+84 345 330 600",,"118","Bình Tân, Thành phố Hồ Chí Minh","QHRR+342, Đ. Liên Khu 5-6","Cơ quan",,"https://www.google.com/maps/search/?api=1&query=C%C6%A1%20quan&query_place_id=ChIJt24G-h0tdTEReu3HmqxsYF4","https://co-quan-southern-us-restaurant.business.site/?utm_source=gmb&utm_medium=referral","0"
