"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"1541 Rừng Sác, An Thới Đông, Cần Giờ, Hồ Chí Minh, Việt Nam","Đại lý du lịch","false",,,"10.5011726","106.8676127",,,,,,,,,,,,,,,,"16","Cần Giờ, Hồ Chí Minh","1541 Rừng Sác","Khu Du Lịch Sinh Thái Dần Xây","4.5","https://www.google.com/maps/search/?api=1&query=Khu%20Du%20L%E1%BB%8Bch%20Sinh%20Th%C3%A1i%20D%E1%BA%A7n%20X%C3%A2y&query_place_id=ChIJKfODsGFAdTERS5_lbmQBKJE","https://rungngapmancangio.org/","280"
"1 Duyên Hải, Long Hoà, Cần Giờ, Hồ Chí Minh, Việt Nam","Quán ăn nhỏ","true",,,"10.3954414","106.9171225","Thứ Ba","06:00 to 21:00","Thứ Tư","06:00 to 21:00","Thứ Năm","06:00 to 21:00","Thứ Sáu","06:00 to 21:00","Thứ Bảy","06:00 to 21:00","Chủ Nhật","06:00 to 21:00","Thứ Hai","06:00 to 21:00",,"20","Cần Giờ, Hồ Chí Minh","1 Duyên Hải","Lẩu dê Phan Thiết","4.5","https://www.google.com/maps/search/?api=1&query=L%E1%BA%A9u%20d%C3%AA%20Phan%20Thi%E1%BA%BFt&query_place_id=ChIJ21eENNdpdTER3UlahnhApaE",,"11"
"FV4R+857, Rừng Sác, Long Hoà, Cần Giờ, Hồ Chí Minh, Việt Nam","Quán ăn nhỏ","true",,,"10.454869","106.8905142",,,,,,,,,,,,,,,,"22","Cần Giờ, Hồ Chí Minh","FV4R+857, Rừng Sác","Dừa nước rừng sác",,"https://www.google.com/maps/search/?api=1&query=D%E1%BB%ABa%20n%C6%B0%E1%BB%9Bc%20r%E1%BB%ABng%20s%C3%A1c&query_place_id=ChIJe4dsOwBBdTEReZnMgc-XStQ",,"0"
"FW53+QV2, Long Hoà, Cần Giờ, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.459392","106.9046311","Thứ Ba","06:00 to 21:00","Thứ Tư","06:00 to 21:00","Thứ Năm","06:00 to 21:00","Thứ Sáu","06:00 to 21:00","Thứ Bảy","06:00 to 21:00","Chủ Nhật","06:00 to 21:00","Thứ Hai","06:00 to 21:00",,"21","Cần Giờ, Hồ Chí Minh","FW53+QV2","Quán Ăn Gia Đình 2 Đức","3.8","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20%C4%82n%20Gia%20%C4%90%C3%ACnh%202%20%C4%90%E1%BB%A9c&query_place_id=ChIJZ7f1BR1BdTERq93Wz-E2Khw",,"14"
"9WJ5+Q3G, Long Hoà, Cần Giờ, Hồ Chí Minh, Việt Nam","Quán ăn nhỏ","true",,,"10.3819442","106.9077184","Thứ Ba","06:00 to 21:00","Thứ Tư","06:00 to 21:00","Thứ Năm","06:00 to 21:00","Thứ Sáu","06:00 to 21:00","Thứ Bảy","06:00 to 21:00","Chủ Nhật","06:00 to 21:00","Thứ Hai","06:00 to 21:00",,"18","Cần Giờ, Hồ Chí Minh","9WJ5+Q3G","Quán Rừng","4","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20R%E1%BB%ABng&query_place_id=ChIJuwocXYFCdTERzOIh1XY54fI",,"21"
"9WQF+8H5, Long Hoà, Cần Giờ, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.3882611","106.9239977","Thứ Ba","07:00 to 18:00","Thứ Tư","07:00 to 18:00","Thứ Năm","07:00 to 18:00","Thứ Sáu","07:00 to 18:00","Thứ Bảy","07:00 to 18:00","Chủ Nhật","07:00 to 18:00","Thứ Hai","07:00 to 18:00",,"9","Cần Giờ, Hồ Chí Minh","9WQF+8H5","Quán ăn Hồng Quyên","3","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20%C4%83n%20H%E1%BB%93ng%20Quy%C3%AAn&query_place_id=ChIJS03_fc1pdTERo-h2scO3Dew",,"36"
"161 Thạnh Thới, Long Hoà, Cần Giờ, Hồ Chí Minh, Việt Nam","Nhà hàng hải sản","false",,,"10.3889382","106.9195224","Thứ Ba","10:00 to 22:30","Thứ Tư","10:00 to 22:00","Thứ Năm","10:00 to 22:00","Thứ Sáu","10:00 to 22:30","Thứ Bảy","10:00 to 22:30","Chủ Nhật","10:00 to 22:00","Thứ Hai","10:00 to 22:00",,"3","Cần Giờ, Hồ Chí Minh","161 Thạnh Thới","Điền Trang Quán","4.1","https://www.google.com/maps/search/?api=1&query=%C4%90i%E1%BB%81n%20Trang%20Qu%C3%A1n&query_place_id=ChIJR68yGb9pdTERUGTMNroQMJA",,"25"
"GWFX+QG, Thạnh An, Cần Giờ, Hồ Chí Minh, Việt Nam","Nhà hàng gia đình","false",,,"10.5244375","106.9488125","Thứ Ba","06:00 to 23:00","Thứ Tư","06:00 to 23:00","Thứ Năm","06:00 to 23:00","Thứ Sáu","06:00 to 23:00","Thứ Bảy","06:00 to 23:00","Chủ Nhật","06:00 to 23:00","Thứ Hai","06:00 to 23:00",,"2","Cần Giờ, Hồ Chí Minh","GWFX+QG","ẨM THỰC ĐỒNG MUỐI (Hộ Năm Đổi)","5","https://www.google.com/maps/search/?api=1&query=%E1%BA%A8M%20TH%E1%BB%B0C%20%C4%90%E1%BB%92NG%20MU%E1%BB%90I%20(H%E1%BB%99%20N%C4%83m%20%C4%90%E1%BB%95i)&query_place_id=ChIJUc7HLbkVdTERh2CbiyD3_0M",,"3"
"CWP9+35, Long Hoà, Cần Giờ, Hồ Chí Minh, Việt Nam","Nhà hàng hải sản","false",,,"10.4351273","106.9178379","Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày",,"1","Cần Giờ, Hồ Chí Minh","CWP9+35","Bè hải sản Su Su","4.6","https://www.google.com/maps/search/?api=1&query=B%C3%A8%20h%E1%BA%A3i%20s%E1%BA%A3n%20Su%20Su&query_place_id=ChIJS2rlxBdrdTERRHJ8m0WltG0",,"8"
"FQC9+X62, Lý Nhơn, Cần Giờ, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.4724254","106.7680593",,,,,,,,,,,,,,,,"7","Cần Giờ, Hồ Chí Minh","FQC9+X62","Quán Phở Út Trai",,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20Ph%E1%BB%9F%20%C3%9At%20Trai&query_place_id=ChIJkQEBJK5HdTERncvIfHUp9Bg",,"0"
