"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"Trung Lập Thượng, Củ Chi, Thành phố Hồ Chí Minh, Việt Nam","Quán cà phê","false",,,"11.0350473","106.447462",,,,,,,,,,,,,,,,"102","Củ Chi, Thành phố Hồ Chí Minh",,"CAFE BĐS 68",,"https://www.google.com/maps/search/?api=1&query=CAFE%20B%C4%90S%2068&query_place_id=ChIJLcnddvQtCzER-Vt53BEprbQ",,"0"
"Ấp phước lộc, Củ Chi, Hồ Chí Minh, Việt Nam","Quán ăn nhỏ","false",,,"11.0079437","106.4214495","Thứ Ba","06:00 to 11:00","Thứ Tư","06:00 to 11:00","Thứ Năm","06:00 to 11:00","Thứ Sáu","06:00 to 11:00","Thứ Bảy","06:00 to 11:00","Chủ Nhật","06:00 to 11:00","Thứ Hai","06:00 to 11:00",,"101","Củ Chi, Hồ Chí Minh",,"Bún Bò Huế Kushin",,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20B%C3%B2%20Hu%E1%BA%BF%20Kushin&query_place_id=ChIJ1RBzuQEvCzERDMdppdL5qr8",,"0"
"2C4F+QGC, QL22, Phước Thạnh, Củ Chi, Thành phố Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"11.0069307","106.4237673",,,,,,,,,,,,,,,,"99","Củ Chi, Thành phố Hồ Chí Minh","2C4F+QGC, QL22","Quán Ăn An Khê",,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20%C4%82n%20An%20Kh%C3%AA&query_place_id=ChIJWXVuRZEuCzER0YC_UXAPE9Y",,"0"
"900, Tỉnh lộ 7, Phước Thạnh, Củ Chi, Thành phố Hồ Chí Minh, Việt Nam","Quán ăn nhẹ","true",,,"11.009527","106.4312446",,,,,,,,,,,,,,,,"100","Củ Chi, Thành phố Hồ Chí Minh","900, Tỉnh lộ 7","Quán bánh xèo Huyền Trân",,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20b%C3%A1nh%20x%C3%A8o%20Huy%E1%BB%81n%20Tr%C3%A2n&query_place_id=ChIJpTtpH84vCzER-oFfECCYU3c",,"0"
"45 Nguyễn Thị Quá, ấp, Củ Chi, Thành phố Hồ Chí Minh, Việt Nam","Quán ăn nhỏ","false",,,"11.0098189","106.4348128",,,,,,,,,,,,,,,,"98","Củ Chi, Thành phố Hồ Chí Minh","45 Nguyễn Thị Quá","DVDL Cao Nam","5","https://www.google.com/maps/search/?api=1&query=DVDL%20Cao%20Nam&query_place_id=ChIJgUoKuNwvCzERYcgec8UKSQA",,"6"
"966 QL22, Phước Thạnh, Củ Chi, Hồ Chí Minh, Việt Nam","Quán ăn nhỏ","true",,,"11.0088709","106.4186622","Thứ Ba","06:00 to 14:00","Thứ Tư","06:00 to 14:00","Thứ Năm","06:00 to 14:00","Thứ Sáu","06:00 to 14:00","Thứ Bảy","06:00 to 14:00","Chủ Nhật","06:00 to 14:00","Thứ Hai","06:00 to 14:00",,"97","Củ Chi, Hồ Chí Minh","966 QL22","Cơm sườn - Bún giò heo Minh Khánh","3.8","https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20s%C6%B0%E1%BB%9Dn%20-%20B%C3%BAn%20gi%C3%B2%20heo%20Minh%20Kh%C3%A1nh&query_place_id=ChIJm1XBGJMuCzERpDd79XL7Xfs",,"39"
"23/1 Đường 657, ấp Bàu Điều, Củ Chi, Hồ Chí Minh, Việt Nam","Quán ăn nhỏ","false",,,"11.0124182","106.4356411","Thứ Ba","05:00 to 10:00","Thứ Tư","05:00 to 10:00","Thứ Năm","05:00 to 10:00","Thứ Sáu","05:00 to 10:00","Thứ Bảy","05:00 to 10:00","Chủ Nhật","05:00 to 10:00","Thứ Hai","05:00 to 10:00",,"96","Củ Chi, Hồ Chí Minh","23/1 Đường 657","Hủ tiếu chị 6",,"https://www.google.com/maps/search/?api=1&query=H%E1%BB%A7%20ti%E1%BA%BFu%20ch%E1%BB%8B%206&query_place_id=ChIJK4cgJwAvCzER61Bx_riJXIE",,"0"
"824, Tỉnh lộ 7, Phước Thạnh, Củ Chi, Hồ Chí Minh, Việt Nam","Quán ăn nhỏ","true",,,"11.0073301","106.4288357","Thứ Ba","06:00 to 11:00","Thứ Tư","06:00 to 11:00","Thứ Năm","06:00 to 11:00","Thứ Sáu","06:00 to 11:00","Thứ Bảy","06:00 to 11:00","Chủ Nhật","06:00 to 11:00","Thứ Hai","06:00 to 11:00",,"95","Củ Chi, Hồ Chí Minh","824, Tỉnh lộ 7","Bún Giò Heo Tố Quyên","3.9","https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20Gi%C3%B2%20Heo%20T%E1%BB%91%20Quy%C3%AAn&query_place_id=ChIJ2fi0RG0vCzERIP71Pi--eVs",,"15"
"67/2A Đường 647, Phước Lộc, Củ Chi, Hồ Chí Minh, Việt Nam","Quán ăn nhỏ","true",,,"11.0083954","106.424992","Thứ Ba","08:00 to 16:00","Thứ Tư","08:00 to 16:00","Thứ Năm","08:00 to 16:00","Thứ Sáu","08:00 to 16:00","Thứ Bảy","08:00 to 16:00","Chủ Nhật","08:00 to 16:00","Thứ Hai","08:00 to 16:00",,"94","Củ Chi, Hồ Chí Minh","67/2A Đường 647","Quán Nhậu Cây Điều","4.2","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20Nh%E1%BA%ADu%20C%C3%A2y%20%C4%90i%E1%BB%81u&query_place_id=ChIJT2OI994vCzERGSsg-Dj_FbU",,"24"
"917A QL22, Phước Thạnh, Củ Chi, Hồ Chí Minh, Việt Nam","Nhà hàng gia đình","false",,,"11.0067826","106.4240471","Thứ Ba","06:00 to 09:00","Thứ Tư","06:00 to 09:00","Thứ Năm","06:00 to 09:00","Thứ Sáu","06:00 to 09:00","Thứ Bảy","06:00 to 09:00","Chủ Nhật","06:00 to 09:00","Thứ Hai","06:00 to 09:00",,"93","Củ Chi, Hồ Chí Minh","917A QL22","Ngọc Oanh: Bún Bò Huế - Cơm Sườn Bì Chả",,"https://www.google.com/maps/search/?api=1&query=Ng%E1%BB%8Dc%20Oanh%3A%20B%C3%BAn%20B%C3%B2%20Hu%E1%BA%BF%20-%20C%C6%A1m%20S%C6%B0%E1%BB%9Dn%20B%C3%AC%20Ch%E1%BA%A3&query_place_id=ChIJfe4Dt6YvCzERxgk-xN734Z4",,"0"
"Phước Thạnh, Củ Chi, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"11.0050651","106.4271446",,,,,,,,,,,,,,,,"92","Củ Chi, Hồ Chí Minh",,"Quán Ăn Bình Dân",,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20%C4%82n%20B%C3%ACnh%20D%C3%A2n&query_place_id=ChIJJ3YnOZcuCzERWgdeVuLuVxA",,"0"
"Phước Thạnh, Củ Chi, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"11.0076904","106.4214257",,,,,,,,,,,,,,,,"91","Củ Chi, Hồ Chí Minh",,"Lẩu Dê 4.4",,"https://www.google.com/maps/search/?api=1&query=L%E1%BA%A9u%20D%C3%AA%204.4&query_place_id=ChIJPd5LlZMuCzERbo6bveBJTqA",,"0"
"Trung Lập Hạ, Củ Chi, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"11.0336088","106.4483508",,,,,,,,,,,,,,,,"89","Củ Chi, Hồ Chí Minh",,"Quán Ăn An Hải",,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20%C4%82n%20An%20H%E1%BA%A3i&query_place_id=ChIJAQEHQtotCzERW9IQKiDjlc4",,"0"
"Phước Thạnh, Củ Chi, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"11.0079474","106.4205916",,,,,,,,,,,,,,,,"88","Củ Chi, Hồ Chí Minh",,"Quán Cơm Phước Thạnh",,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20C%C6%A1m%20Ph%C6%B0%E1%BB%9Bc%20Th%E1%BA%A1nh&query_place_id=ChIJfzfkopMuCzERaHA9A3P5-rU",,"0"
"Phước Thạnh, Củ Chi, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"11.0087615","106.418192",,,,,,,,,,,,,,,,"90","Củ Chi, Hồ Chí Minh",,"Bánh Xèo Quỳnh Như","5","https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20X%C3%A8o%20Qu%E1%BB%B3nh%20Nh%C6%B0&query_place_id=ChIJ9f5wI5MuCzERevMb5yj98PE",,"3"
"2, HL2, Tân Phú Trung, Củ Chi, Hồ Chí Minh, Việt Nam","Quán ăn nhẹ","true",,,"11.01362","106.4673265",,,,,,,,,,,,,,,,"87","Củ Chi, Hồ Chí Minh","2, HL2","Ốc Bảo Anh",,"https://www.google.com/maps/search/?api=1&query=%E1%BB%90c%20B%E1%BA%A3o%20Anh&query_place_id=ChIJrwXFbhctCzER2rjzLdqZY2w",,"0"
"Phước Thạnh, Củ Chi, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"11.0071587","106.4230736",,,,,,,,,,,,,,,,"86","Củ Chi, Hồ Chí Minh",,"Quán Cơm 9 Mái",,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20C%C6%A1m%209%20M%C3%A1i&query_place_id=ChIJL5r4WJEuCzER_HZdXs_Q5is",,"0"
