"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","phone","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"96 Đ. Số 6, Phường 7, Gò Vấp, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","false",,,"10.8236855","106.6826485","Thứ Năm","09:00 to 17:00","Thứ Sáu","09:00 to 17:00","Thứ Bảy","Đóng cửa","Chủ Nhật","Đóng cửa","Thứ Hai","09:00 to 17:00","Thứ Ba","09:00 to 17:00","Thứ Tư","09:00 to 17:00","+84 981 867 326",,"18","Gò Vấp, Hồ Chí Minh","96 Đ. Số 6","Du Lịch Thiên Thai - Chuyên tour Phú Quốc - Đà Nẵng - Sapa","5","https://www.google.com/maps/search/?api=1&query=Du%20L%E1%BB%8Bch%20Thi%C3%AAn%20Thai%20-%20Chuy%C3%AAn%20tour%20Ph%C3%BA%20Qu%E1%BB%91c%20-%20%C4%90%C3%A0%20N%E1%BA%B5ng%20-%20Sapa&query_place_id=ChIJq9WAeYcpdTEROEOxkRaU61E","https://www.dulichthienthai.com/","2"
"62/45 Phạm Huy Thông, Phường 6, Gò Vấp, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,"10.8340977","106.68382","Thứ Năm","08:00 to 17:00","Thứ Sáu","08:00 to 17:00","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","08:00 to 17:00","Thứ Ba","08:00 to 17:00","Thứ Tư","08:00 to 17:00","+84 913 495 558",,"20","Gò Vấp, Hồ Chí Minh","62/45 Phạm Huy Thông","62/45 phạm huy thông phường 7 gò vấp việt nam","5","https://www.google.com/maps/search/?api=1&query=62%2F45%20ph%E1%BA%A1m%20huy%20th%C3%B4ng%20ph%C6%B0%E1%BB%9Dng%207%20g%C3%B2%20v%E1%BA%A5p%20vi%E1%BB%87t%20nam&query_place_id=ChIJRWD0lIgpdTERJRiWTovc2EM",,"3"
"401 Đ. Lê Đức Thọ, Phường 17, Gò Vấp, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,"10.8432692","106.6743185",,,,,,,,,,,,,,,,,"12","Gò Vấp, Hồ Chí Minh","401 Đ. Lê Đức Thọ","Công viên giấc mơ thôi",,"https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20vi%C3%AAn%20gi%E1%BA%A5c%20m%C6%A1%20th%C3%B4i&query_place_id=ChIJ0faDEwApdTERI7Vvhh4PqIM",,"0"
"59 Đ. Số 19, Phường 8, Gò Vấp, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,"10.8391979","106.6548873","Thứ Năm","08:00 to 17:00","Thứ Sáu","08:00 to 17:00","Thứ Bảy","Đóng cửa","Chủ Nhật","Đóng cửa","Thứ Hai","08:00 to 17:00","Thứ Ba","08:00 to 17:00","Thứ Tư","08:00 to 17:00","+84 913 747 519",,"14","Gò Vấp, Hồ Chí Minh","59 Đ. Số 19","Minhtamvoyages- Công Ty Du Lịch Minh Tâm","5","https://www.google.com/maps/search/?api=1&query=Minhtamvoyages-%20C%C3%B4ng%20Ty%20Du%20L%E1%BB%8Bch%20Minh%20T%C3%A2m&query_place_id=ChIJW9wTyyMpdTERZWTNbK-yENY",,"1"
"39A Hà Huy Giáp, Thạnh Lộc, Quận 12, Hồ Chí Minh 700000, Việt Nam","Điểm thu hút khách du lịch","false",,,"10.8530798","106.6779009","Thứ Năm","07:00 to 22:00","Thứ Sáu","07:00 to 22:00","Thứ Bảy","07:00 to 22:00","Chủ Nhật","07:00 to 22:00","Thứ Hai","07:00 to 22:00","Thứ Ba","07:00 to 22:00","Thứ Tư","07:00 to 22:00","+84 942 166 166",,"7","Quận 12, Hồ Chí Minh","39A Hà Huy Giáp","Khu Du Lịch Bến Xưa","4.3","https://www.google.com/maps/search/?api=1&query=Khu%20Du%20L%E1%BB%8Bch%20B%E1%BA%BFn%20X%C6%B0a&query_place_id=ChIJq6rG9UoodTERIZTb9Xp6jAM","https://benxua.vn/","1124"
"13 Đ. TL 08, Thạnh Lộc, Quận 12, Hồ Chí Minh, Việt Nam","Nhà kho","false",,,"10.8541272","106.6776223",,,,,,,,,,,,,,,,,"3","Quận 12, Hồ Chí Minh","13 Đ. TL 08","ABC",,"https://www.google.com/maps/search/?api=1&query=ABC&query_place_id=ChIJZdzwU6ApdTERiSH8wqGgDQw",,"0"
"90 Tô Ngoc Van, Phường 15, Gò Vấp, Hồ Chí Minh, Việt Nam","Sân bóng đá","true",,,"10.857146","106.6707333",,,,,,,,,,,,,,,,,"2","Gò Vấp, Hồ Chí Minh","90 Tô Ngoc Van","sân banh P15",,"https://www.google.com/maps/search/?api=1&query=s%C3%A2n%20banh%20P15&query_place_id=ChIJNy9VQ4UpdTER_LT3XJrfPls",,"0"
"17/18 Hà Huy Giáp, khu phố 3, Quận 12, Hồ Chí Minh, Việt Nam","Khu nhà liền kề","true",,,"10.8522706","106.6791848","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày","Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày","+84 974 743 471",,"1","Quận 12, Hồ Chí Minh","17/18 Hà Huy Giáp","Khu nhà ở Gia Đình","1","https://www.google.com/maps/search/?api=1&query=Khu%20nh%C3%A0%20%E1%BB%9F%20Gia%20%C4%90%C3%ACnh&query_place_id=ChIJk850dwApdTERmP6Y_a33wUw",,"1"
"44/16/9 Phạm Văn Chiêu, Phường 8, Gò Vấp, Hồ Chí Minh 727010, Việt Nam","Đại lý du lịch bằng máy bay trực thăng","false",,,"10.8438654","106.6444577","Thứ Năm","06:00 to 22:00","Thứ Sáu","06:00 to 22:00","Thứ Bảy","06:00 to 22:00","Chủ Nhật","06:00 to 22:00","Thứ Hai","06:00 to 22:00","Thứ Ba","06:00 to 22:00","Thứ Tư","06:00 to 22:00","+84 366 639 339",,"21","Gò Vấp, Hồ Chí Minh","44/16/9 Phạm Văn Chiêu","VÉ MÁY BAY HUYỀN VIÊN",,"https://www.google.com/maps/search/?api=1&query=VE%CC%81%20MA%CC%81Y%20BAY%20HUY%C3%8A%CC%80N%20VI%C3%8AN&query_place_id=ChIJ6902_ogpdTERxOAq49Dl8Z4",,"0"
"974 Đ. Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh, Việt Nam","Chùa phật giáo","true",,,"10.8392533","106.6477946","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày","Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày","+84 28 5436 9884",,"21","Gò Vấp, Hồ Chí Minh","974 Đ. Quang Trung","Chùa Huyền Trang","4.6","https://www.google.com/maps/search/?api=1&query=Ch%C3%B9a%20Huy%E1%BB%81n%20Trang&query_place_id=ChIJeZEukp4pdTERXuTgJ2UR2ZQ",,"198"
