"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"VJR7+882, Đ. Đặng Thúc Vịnh, Thới Tam Thôn, Hóc Môn, Hồ Chí Minh, Việt Nam","Nhà hàng ăn nhanh","true",,,"10.8907352","106.6132556",,,,,,,,,,,,,,,,"67","Hóc Môn, Hồ Chí Minh","VJR7+882, Đ. Đặng Thúc Vịnh","Hủ tíu mì gõ",,"https://www.google.com/maps/search/?api=1&query=H%E1%BB%A7%20t%C3%ADu%20m%C3%AC%20g%C3%B5&query_place_id=ChIJM_qVNsjVdDERf0A4wsx9RlM",,"0"
"69|7A, ấp Tân Thới 2, Tân Hiệp, Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam","Quán ăn nhẹ","true",,,"10.8987169","106.5975416",,,,,,,,,,,,,,,,"120","Hóc Môn, Thành phố Hồ Chí Minh","69|7A, ấp Tân Thới 2","Bán bánh mì",,"https://www.google.com/maps/search/?api=1&query=B%C3%A1n%20b%C3%A1nh%20m%C3%AC&query_place_id=ChIJK6Fe3irVdDERgL5fEksQMbM",,"0"
"82/1c Đ. Xuân Thới 21, Xuân Thới Đông, Hóc Môn, Hồ Chí Minh, Việt Nam","Nhà hàng chuyên phục vụ bữa sáng","true",,,"10.8637569","106.595999","Thứ Ba","07:00 to 12:00","Thứ Tư","07:00 to 12:00","Thứ Năm","07:00 to 12:00","Thứ Sáu","07:00 to 12:00","Thứ Bảy","07:00 to 12:00","Chủ Nhật","07:00 to 12:00","Thứ Hai","07:00 to 12:00",,"127","Hóc Môn, Hồ Chí Minh","82/1c Đ. Xuân Thới 21","Bánh mì chảo - xíu mại Đà Lạt","5","https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20m%C3%AC%20ch%E1%BA%A3o%20-%20x%C3%ADu%20m%E1%BA%A1i%20%C4%90%C3%A0%20L%E1%BA%A1t&query_place_id=ChIJbx4DagArdTERRe2hbQRVYYo",,"1"
"36/5G, Song Hành, Xã Trung Chánh, Huyện Hóc Môn, Quận 12, Thành phố Hồ Chí Minh, Việt Nam","Nhà hàng cho người ăn chay","true",,,"10.8580588","106.6077517",,,,,,,,,,,,,,,,"135","Quận 12, Thành phố Hồ Chí Minh","36/5G, Song Hành, Xã Trung Chánh, Huyện Hóc Môn","Quán Chay Diệu Phước",,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20Chay%20Di%E1%BB%87u%20Ph%C6%B0%E1%BB%9Bc&query_place_id=ChIJWegCRMwrdTERklBZ4_HmJww",,"0"
"4 Đ. Nguyễn Ảnh Thủ, Trung Mỹ Tây, Hóc Môn, Hồ Chí Minh, Việt Nam","Quán ăn nhẹ","true",,,"10.8627567","106.6120605","Thứ Ba","21:30 to 02:30","Thứ Tư","21:30 to 02:30","Thứ Năm","21:30 to 02:30","Thứ Sáu","21:30 to 02:30","Thứ Bảy","21:30 to 02:30","Chủ Nhật","21:30 to 02:30","Thứ Hai","21:30 to 02:30",,"133","Hóc Môn, Hồ Chí Minh","4 Đ. Nguyễn Ảnh Thủ","Hủ tiếu - Cháo lòng đêm","5","https://www.google.com/maps/search/?api=1&query=H%E1%BB%A7%20ti%E1%BA%BFu%20-%20Ch%C3%A1o%20l%C3%B2ng%20%C4%91%C3%AAm&query_place_id=ChIJqw_0nWQrdTERYosa87EnP3E",,"1"
"35/1A, 35/1A Ấp Mỹ Hòa 3, Tân Xuân, Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.866405","106.602268",,,,,,,,,,,,,,,,"134","Hóc Môn, Thành phố Hồ Chí Minh","35/1A, 35/1A Ấp Mỹ Hòa 3","Hủ Tíu Chay Hoàng Quân","4.3","https://www.google.com/maps/search/?api=1&query=H%E1%BB%A7%20T%C3%ADu%20Chay%20Ho%C3%A0ng%20Qu%C3%A2n&query_place_id=ChIJp7b9Y2wqdTERL_1dASO9qBk",,"3"
"5 Trần Văn Mười, Xuân Thới Đông, Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam","Nhà hàng gia đình","true",,,"10.8672244","106.5893578",,,,,,,,,,,,,,,,"131","Hóc Môn, Thành phố Hồ Chí Minh","5 Trần Văn Mười","Quán bún riêu Xí lụm",,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20b%C3%BAn%20ri%C3%AAu%20X%C3%AD%20l%E1%BB%A5m&query_place_id=ChIJ5QzNIFYrdTER-8pDIH9zlaY",,"0"
"59 4đồng tâm, Trung Chánh, Hóc Môn, Hồ Chí Minh 700000, Việt Nam","Nhà hàng ăn nhanh","false",,,"10.8634815","106.6099461","Thứ Ba","06:00 to 12:00, 16:30 to 21:00","Thứ Tư","06:00 to 12:00, 16:30 to 21:00","Thứ Năm","06:00 to 12:00, 16:30 to 21:00","Thứ Sáu","06:00 to 12:00, 16:30 to 21:00","Thứ Bảy","06:00 to 12:00, 16:30 to 21:00","Chủ Nhật","06:00 to 12:00, 16:30 to 21:00","Thứ Hai","06:00 to 12:00, 16:30 to 21:00",,"129","Hóc Môn, Hồ Chí Minh","59 4đồng tâm","Bánh mỳ xôi Bảo Như","5","https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20m%E1%BB%B3%20x%C3%B4i%20B%E1%BA%A3o%20Nh%C6%B0&query_place_id=ChIJAfrHdYkrdTERfWCDuoEJiaM",,"6"
"1/11B Ấp Hưng Lân, Bà Điểm, Hóc Môn, Hồ Chí Minh, Việt Nam","Nhà hàng bán đồ ăn mang về","false","https://food.google.com/chooseprovider?restaurantId=/g/11y54v_x5f&g2lbs=AOHF13nZozxooG40TVViKrwlddEJO1eJTChh9BLWU_mK3OQUjQJKsqBlBMk3Oo-EtTCPFWzfTkHOvwqgbIiwFbGrz6R_oO1xw08UC8O05I2pTwlL12JdYsg%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=1Xt6ZsisLezr5NoPyK-CmA0&ei=1Xt6ZsisLezr5NoPyK-CmA0&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.8558863","106.6027319","Thứ Ba","17:00 to 23:00","Thứ Tư","17:00 to 23:00","Thứ Năm","17:00 to 23:00","Thứ Sáu","17:00 to 23:00","Thứ Bảy","17:00 to 23:00","Chủ Nhật","10:00 to 23:00","Thứ Hai","17:00 to 23:00",,"132","Hóc Môn, Hồ Chí Minh","1/11B Ấp Hưng Lân","Ăn Vặt Cô Bi Bà Điểm","5","https://www.google.com/maps/search/?api=1&query=%C4%82n%20V%E1%BA%B7t%20C%C3%B4%20Bi%20B%C3%A0%20%C4%90i%E1%BB%83m&query_place_id=ChIJwWJezeUrdTERFcUKdmvVgLs",,"1"
"11/2 Nguyễn ảnh thủ, Tiền Lân, Bà Điểm, Hóc Môn, Hồ Chí Minh, Việt Nam","Nhà hàng phục vụ phần ăn nhỏ","true",,,"10.8564175","106.6067541","Thứ Ba","06:00 to 12:00","Thứ Tư","06:00 to 12:00","Thứ Năm","06:00 to 12:00","Thứ Sáu","06:00 to 12:00","Thứ Bảy","06:00 to 12:00","Chủ Nhật","06:00 to 12:00","Thứ Hai","06:00 to 12:00",,"122","Hóc Môn, Hồ Chí Minh","11/2 Nguyễn ảnh thủ, Tiền Lân","Quán phở Năm Hùng",,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20ph%E1%BB%9F%20N%C4%83m%20H%C3%B9ng&query_place_id=ChIJu1n7KTcrdTERSg5CYSIVIoI",,"0"
