"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location/lat","location/lng","locatedIn","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"1937 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng ăn nhanh","false",,,"10.6978047","106.7391954",,"Thứ Ba","05:30 to 11:00","Thứ Tư","05:30 to 11:00","Thứ Năm","05:30 to 11:00","Thứ Sáu","05:30 to 11:00","Thứ Bảy","05:30 to 11:00","Chủ Nhật","Đóng cửa","Thứ Hai","05:30 to 11:00",,"43","Nhà Bè, Hồ Chí Minh","1937 Huỳnh Tấn Phát","Bánh mì Chaka Sài Gòn","4.8","https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20m%C3%AC%20Chaka%20S%C3%A0i%20G%C3%B2n&query_place_id=ChIJVbznFwA7dTERcVkBuKGdN0g",,"12"
"MPXQ+7GG, Hẻm 1768, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng bán đồ ăn mang về","true",,,"10.698183","106.7388167",,,,,,,,,,,,,,,,,"52","Nhà Bè, Hồ Chí Minh","MPXQ+7GG, Hẻm 1768","Vịt Nướng Minh Hiếu 2",,"https://www.google.com/maps/search/?api=1&query=V%E1%BB%8Bt%20N%C6%B0%E1%BB%9Bng%20Minh%20Hi%E1%BA%BFu%202&query_place_id=ChIJ_Z9GTQA7dTERu0-vCq42icM",,"0"
"MPXR+CG4, Hẻm 1979/23 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Quán ăn nhẹ","true",,,"10.6985293","106.74146",,"Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày",,"53","Nhà Bè, Hồ Chí Minh","MPXR+CG4, Hẻm 1979/23 Huỳnh Tấn Phát","Bún bò , lẩu vịt xiêm Hoài Anh 79","5","https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20b%C3%B2%20%2C%20l%E1%BA%A9u%20v%E1%BB%8Bt%20xi%C3%AAm%20Ho%C3%A0i%20Anh%2079&query_place_id=ChIJmaxv6f87dTERfHxJfwc7CIU",,"1"
"1994 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Quán ăn nhỏ","true",,,"10.692451","106.7408169",,,,,,,,,,,,,,,,"ĐANG ĐÓNG CỬA","79","Nhà Bè, Hồ Chí Minh","1994 Huỳnh Tấn Phát","BẾP CÔ MƯỜI",,"https://www.google.com/maps/search/?api=1&query=B%E1%BA%BEP%20C%C3%94%20M%C6%AF%E1%BB%9CI&query_place_id=ChIJm5C11EE7dTERfprd5qgNpHM",,"0"
"1937 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Quán ăn nhẹ","false","https://food.google.com/chooseprovider?restaurantId=/g/11stf81v86&g2lbs=AOHF13ndsg3UewSwTJsIDb_eC7-Gxfa69yFz9e4E_cv2LXl2fPSRE9UjadNzOBoT1U_tiLffK2d6GMYewZZRmmLaJc9PhI2lJ4amLI7Q9W1NP1ctkFpIh5c%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=JXB6ZuWgMZyviLMPxPib6AE&ei=JXB6ZuWgMZyviLMPxPib6AE&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.6978119","106.7391756",,"Thứ Ba","16:00 to 22:00","Thứ Tư","16:00 to 22:00","Thứ Năm","16:00 to 22:00","Thứ Sáu","15:00 to 22:00","Thứ Bảy","16:00 to 22:00","Chủ Nhật","16:00 to 22:00","Thứ Hai","16:00 to 22:00",,"42","Nhà Bè, Hồ Chí Minh","1937 Huỳnh Tấn Phát","Tré Trộn Nhà Bơ","5","https://www.google.com/maps/search/?api=1&query=Tr%C3%A9%20Tr%E1%BB%99n%20Nh%C3%A0%20B%C6%A1&query_place_id=ChIJoy-MSgo7dTERi9doRj8adCQ",,"11"
"1800 Huỳnh Tấn Phát, đối diện, ViệtCombank Tân, Hồ Chí Minh 73206, Việt Nam","Nhà hàng cơm","false",,,"10.6994687","106.7386069",,"Thứ Ba","10:00 to 18:00","Thứ Tư","10:00 to 18:00","Thứ Năm","10:00 to 18:00","Thứ Sáu","10:00 to 18:00","Thứ Bảy","10:00 to 18:00","Chủ Nhật","10:00 to 18:00","Thứ Hai","10:00 to 18:00",,"39","ViệtCombank Tân, Hồ Chí Minh","1800 Huỳnh Tấn Phát","Cơm trưa, cơm văn phòng Mai Quỳnh Trâm",,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20tr%C6%B0a%2C%20c%C6%A1m%20v%C4%83n%20ph%C3%B2ng%20Mai%20Qu%E1%BB%B3nh%20Tr%C3%A2m&query_place_id=ChIJv2lFWR47dTERT_Sc_AtsdKQ",,"0"
"1768/25 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng Việt Nam","true",,,"10.6982982","106.7378496",,"Thứ Ba","07:00 to 20:00","Thứ Tư","07:00 to 20:00","Thứ Năm","07:00 to 20:00","Thứ Sáu","07:00 to 20:00","Thứ Bảy","07:00 to 20:00","Chủ Nhật","07:00 to 20:00","Thứ Hai","07:00 to 20:00",,"28","Nhà Bè, Hồ Chí Minh","1768/25 Huỳnh Tấn Phát","Bánh canh Trảng Bàng chị Một",,"https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20canh%20Tr%E1%BA%A3ng%20B%C3%A0ng%20ch%E1%BB%8B%20M%E1%BB%99t&query_place_id=ChIJ1ebBVL87dTERqNpzZAZFPfY",,"0"
"16, 13/15/116/16 Tổ 2, Khu Phố 5, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng gia đình","true",,,"10.698782","106.73806",,,,,,,,,,,,,,,,,"23","Nhà Bè, Hồ Chí Minh","16, 13/15/116/16 Tổ 2","Kim Kitchen","5","https://www.google.com/maps/search/?api=1&query=Kim%20Kitchen&query_place_id=ChIJaXqfJgA7dTERqGixwtzw-fI",,"1"
"5/31A Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, Hồ Chí Minh, Việt Nam","Nhà hàng xúp","true",,,"10.6978494","106.7407327",,"Thứ Ba","06:00 to 21:00","Thứ Tư","06:00 to 21:00","Thứ Năm","06:00 to 21:00","Thứ Sáu","06:00 to 21:00","Thứ Bảy","06:00 to 21:00","Chủ Nhật","06:00 to 21:00","Thứ Hai","06:00 to 21:00",,"31","Nhà Bè, Hồ Chí Minh","5/31A Huỳnh Tấn Phát","HàMy Quán1979","4","https://www.google.com/maps/search/?api=1&query=H%C3%A0My%20Qu%C3%A1n1979&query_place_id=ChIJPxRJjf07dTERsuzKUIH-nGE",,"2"
"MPVR+PFR, TT. Nhà Bè, Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.6943668","106.7411474",,,,,,,,,,,,,,,,,"77","Nhà Bè, Thành phố Hồ Chí Minh","MPVR+PFR","Quán cơm tâm ký",,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20c%C6%A1m%20t%C3%A2m%20k%C3%BD&query_place_id=ChIJCZxBlTI7dTER8fW5og1vRoY",,"0"
