"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","phone","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"60a Trung Mỹ Tây 3, Trung Mỹ Tây, Quận 12, Thành phố Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,"10.8631082","106.6136489",,,,,,,,,,,,,,,,,"4","Quận 12, Thành phố Hồ Chí Minh","60a Trung Mỹ Tây 3","Phú quốc xanh","3.7","https://www.google.com/maps/search/?api=1&query=Ph%C3%BA%20qu%E1%BB%91c%20xanh&query_place_id=ChIJW1BjwxUrdTERa5l1GVPfBck",,"3"
"VJ69+H79, Tân Chánh Hiệp, Quận 12, Thành phố Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,"10.8614003","106.6182325",,,,,,,,,,,,,,,,,"1","Quận 12, Thành phố Hồ Chí Minh","VJ69+H79","Biệt thự Hoàng Tĩnh","5","https://www.google.com/maps/search/?api=1&query=Bi%E1%BB%87t%20th%E1%BB%B1%20Ho%C3%A0ng%20T%C4%A9nh&query_place_id=ChIJl7KpKyUrdTER_IEVw-hQQ0c",,"2"
"77d Thạnh Xuân 24, Thạnh Xuân, Quận 12, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,"10.8774305","106.6714889",,,,,,,,,,,,,,,,,"6","Quận 12, Hồ Chí Minh","77d Thạnh Xuân 24","Ao Sen Hiền Mai",,"https://www.google.com/maps/search/?api=1&query=Ao%20Sen%20Hi%E1%BB%81n%20Mai&query_place_id=ChIJ87e6IwApdTERPLenlLE3Iew",,"0"
"Đ. Nguyễn Thị Sáu, Thạnh Lộc, Quận 12, Hồ Chí Minh 70000, Việt Nam","Điểm thu hút khách du lịch","false",,,"10.8749907","106.6828275","Thứ Tư","07:00 to 21:00","Thứ Năm","07:00 to 21:00","Thứ Sáu","07:00 to 21:00","Thứ Bảy","07:00 to 21:00","Chủ Nhật","07:00 to 21:00","Thứ Hai","07:00 to 21:00","Thứ Ba","07:00 to 21:00","+84 28 3716 1507",,"4","Quận 12, Hồ Chí Minh","Đ. Nguyễn Thị Sáu","Làng Cá Sấu Sài Gòn","4.3","https://www.google.com/maps/search/?api=1&query=L%C3%A0ng%20C%C3%A1%20S%E1%BA%A5u%20S%C3%A0i%20G%C3%B2n&query_place_id=ChIJTZqrfykodTERNyO7WqqdYUc","https://hoacafashion.com/","190"
"4/91 Tổ 9 - KP1, Thạnh Lộc, Quận 12, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","false",,,"10.8821943","106.6876658",,,,,,,,,,,,,,,,,"2","Quận 12, Hồ Chí Minh","4/91 Tổ 9 - KP1","Nhà rông","4.4","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20r%C3%B4ng&query_place_id=ChIJj8_1Bg3XdDERZLGNdFVZRPo",,"9"
"13 Đ. TL 29, Thạnh Lộc, Quận 12, Thành phố Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,"10.8701187","106.689183",,,,,,,,,,,,,,,,,"1","Quận 12, Thành phố Hồ Chí Minh","13 Đ. TL 29","Công Ty Tnhh Green Data",,"https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20Ty%20Tnhh%20Green%20Data&query_place_id=ChIJQ0fNDDIodTERLfJFkWfDQzc",,"0"
"1B/L1 Đ. Tô Ký, Trung Mỹ Tây, Quận 12, Thành phố Hồ Chí Minh, Việt Nam","Nhà cung cấp dịch vụ viễn thông","true",,,"10.8541667","106.625","Thứ Tư","08:00 to 20:00","Thứ Năm","08:00 to 20:00","Thứ Sáu","08:00 to 20:00","Thứ Bảy","08:00 to 20:00","Chủ Nhật","08:00 to 20:00","Thứ Hai","08:00 to 20:00","Thứ Ba","08:00 to 20:00","+84 28 6256 3436",,"64","Quận 12, Thành phố Hồ Chí Minh","1B/L1 Đ. Tô Ký","Viettel Quan 12","4.2","https://www.google.com/maps/search/?api=1&query=Viettel%20Quan%2012&query_place_id=ChIJ_4NtKyEqdTERKmmPVyvKzuA","http://www.vietteltphochiminh.com/","351"
"39/4A QL1A, Tân Hưng Thuận, Quận 12, Hồ Chí Minh, Việt Nam","Bãi đỗ xe","true",,,"10.8477389","106.6223827",,,,,,,,,,,,,,,"+84 907 707 470",,"61","Quận 12, Hồ Chí Minh","39/4A QL1A","Nhà xe thanh phong an sương",,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20xe%20thanh%20phong%20an%20s%C6%B0%C6%A1ng&query_place_id=ChIJhaxhIgArdTERKnFnUDLi1Og",,"0"
"VJ27+Q73, Song Hành Quốc Lộ 22, Trung Mỹ Tây, Quận 12, Thành phố Hồ Chí Minh, Việt Nam","Bãi đỗ xe","true",,,"10.8518938","106.6131842",,,,,,,,,,,,,,,,,"65","Quận 12, Thành phố Hồ Chí Minh","VJ27+Q73, Song Hành Quốc Lộ 22","Dịch Vụ Giữ Xe Ô Tô Như Ý",,"https://www.google.com/maps/search/?api=1&query=D%E1%BB%8Bch%20V%E1%BB%A5%20Gi%E1%BB%AF%20Xe%20%C3%94%20T%C3%B4%20Nh%C6%B0%20%C3%9D&query_place_id=ChIJ_6nDuTsqdTERJHOPhxGm2Zw",,"0"
"SBI Building, Quang Trung Software Park, District 12, Ho Chi Minh City, Ho Chi Minh City, Hồ Chí Minh 700000, Việt Nam","Công ty phần mềm","true",,,"10.8518812","106.6285306","Thứ Tư","08:00 to 17:30","Thứ Năm","08:00 to 17:30","Thứ Sáu","08:00 to 17:30","Thứ Bảy","Đóng cửa","Chủ Nhật","Đóng cửa","Thứ Hai","08:00 to 17:30","Thứ Ba","08:00 to 17:30","+84 28 3715 7562",,"62","Ho Chi Minh City, Hồ Chí Minh","SBI Building, Quang Trung Software Park, District 12, Ho Chi Minh City","EBIZWORLD Software","5","https://www.google.com/maps/search/?api=1&query=EBIZWORLD%20Software&query_place_id=ChIJBRvOPQgpdTERGeaTNE5U9xM","https://ebizworldsolutions.com/","14"
