"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"102 Tôn Đản, Phường 10, Quận 4, Hồ Chí Minh, Việt Nam","Nhà hàng Trung Quốc","true","https://food.google.com/chooseprovider?restaurantId=/g/11v59w3b1z&g2lbs=AOHF13m1zgiW8MItC3E9Ngo2PnG5hEfXYuqGmXYrfWyDd9W5X4p9PIhjz9l1Hbnw3o04rFJSYMgwkvwhtTA_hi822Q5_FRRgD8l4FV3Qd1o1Bh0gT46iLWc%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=ubFyZrHyLIqbwbkPzICiiAo&ei=ubFyZrHyLIqbwbkPzICiiAo&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.7599316","106.7069972","Thứ Tư","10:30 to 21:30","Thứ Năm","10:30 to 21:30","Thứ Sáu","10:30 to 21:30","Thứ Bảy","10:30 to 21:30","Chủ Nhật","10:30 to 21:30","Thứ Hai","10:30 to 21:30","Thứ Ba","10:30 to 21:30",,"26","Quận 4, Hồ Chí Minh","102 Tôn Đản","Cơm gà Hải Nam- BBQ Wong","5","https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20g%C3%A0%20H%E1%BA%A3i%20Nam-%20BBQ%20Wong&query_place_id=ChIJH8kF42EvdTERMY6iHuTuLuw",,"3"
"86/38 Vĩnh Khánh, Phường 10, Quận 4, Hồ Chí Minh 70000, Việt Nam","Quán ăn nhẹ","false","https://food.google.com/chooseprovider?restaurantId=/g/11stvch7fy&g2lbs=AOHF13lsCAKFs1mD4ygZzBTXUT2yarTU746_T2agrvhAxWF6qmVrydTokxICBEjZ1j25RHjd4k2zVSYiBfWe4jKDzDbTPoZO294eZSAieTTv_mLM_Yx-Zx0%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=wrFyZqbPAteTwbkProWQyAM&ei=wrFyZqbPAteTwbkProWQyAM&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.7605668","106.7065803","Thứ Tư","07:00 to 14:00","Thứ Năm","07:00 to 14:00","Thứ Sáu","07:00 to 14:00","Thứ Bảy","07:00 to 14:00","Chủ Nhật","07:00 to 14:00","Thứ Hai","07:00 to 14:00","Thứ Ba","07:00 to 14:00",,"105","Quận 4, Hồ Chí Minh","86/38 Vĩnh Khánh","Bột Chiên A.Tài",,"https://www.google.com/maps/search/?api=1&query=B%E1%BB%99t%20Chi%C3%AAn%20A.T%C3%A0i&query_place_id=ChIJuVzTbTEvdTER68aBoh7JwVU",,"0"
"520 Đoàn Văn Bơ, Phường 13, Quận 4, Thành phố Hồ Chí Minh, Việt Nam","Nhà hàng Việt Nam","true",,,"10.7593045","106.7102626",,,,,,,,,,,,,,,,"106","Quận 4, Thành phố Hồ Chí Minh","520 Đoàn Văn Bơ","Cơm Bình Dân",,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20B%C3%ACnh%20D%C3%A2n&query_place_id=ChIJqYZ4An4vdTERLaih4PefTsY",,"0"
"184 Tôn Đản, Phường 8, Quận 4, Hồ Chí Minh, Việt Nam","Nhà hàng phở","false",,,"10.7582921","106.7064955","Thứ Tư","Mở cửa cả ngày","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày","Thứ Ba","Mở cửa cả ngày",,"40","Quận 4, Hồ Chí Minh","184 Tôn Đản","Quán Phở Mùi Chánh Gốc","4.2","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20Ph%E1%BB%9F%20M%C3%B9i%20Ch%C3%A1nh%20G%E1%BB%91c&query_place_id=ChIJcy0WBG4vdTERpddRZjCZMho",,"220"
"232 Tôn Đản, Phường 8, Quận 4, Hồ Chí Minh, Việt Nam","Nhà hàng cơm","true",,,"10.757426","106.706267","Thứ Tư","16:00 to 00:00","Thứ Năm","16:00 to 00:00","Thứ Sáu","16:00 to 00:00","Thứ Bảy","16:00 to 00:00","Chủ Nhật","16:00 to 00:00","Thứ Hai","00:00 to 12:00, 16:00 to 00:00","Thứ Ba","16:00 to 00:00",,"68","Quận 4, Hồ Chí Minh","232 Tôn Đản","Xôi 230 Tôn Đản","4.9","https://www.google.com/maps/search/?api=1&query=X%C3%B4i%20230%20T%C3%B4n%20%C4%90%E1%BA%A3n&query_place_id=ChIJC9_WmZwvdTERusKPoB5h2d0",,"8"
"232/73, Doan Van Bo Street, District 4, Phường 12, Quận 4, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.7625445","106.7055943",,,,,,,,,,,,,,,,"16","Quận 4, Hồ Chí Minh","232/73, Doan Van Bo Street, District 4","Sai gon Tulip Restaurant",,"https://www.google.com/maps/search/?api=1&query=Sai%20gon%20Tulip%20Restaurant&query_place_id=ChIJY81M4msvdTER6j4zd--Mnjk",,"0"
"137 Tôn Đản, Phường 14, Quận 4, Hồ Chí Minh, Việt Nam","Quán ăn nhẹ","true","https://food.google.com/chooseprovider?restaurantId=/g/11sk0ls74s&g2lbs=AOHF13nN1FU38gd2PooU3T5XYqo4AhKy4riIrqWEeiLEPMCk7S4JnEKBZ7CRljAeuuu6DDEQ95PxFFX5_K7yENMr96B868OahF0fKqnWiyFyoqcPE2vee1M%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=zrFyZo27ObakiLMPrNubmA0&ei=zrFyZo27ObakiLMPrNubmA0&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.7587437","106.7068903",,,,,,,,,,,,,,,,"103","Quận 4, Hồ Chí Minh","137 Tôn Đản","Cháo Lòng Miền Tây",,"https://www.google.com/maps/search/?api=1&query=Ch%C3%A1o%20L%C3%B2ng%20Mi%E1%BB%81n%20T%C3%A2y&query_place_id=ChIJa0CzRy4vdTERGRfVvOHRg8w",,"0"
"207 Tôn Đản, Phường 15, Quận 4, Hồ Chí Minh, Việt Nam","Nhà hàng cơm","false",,,"10.7571876","106.7064578","Thứ Tư","17:30 to 00:00","Thứ Năm","17:30 to 00:00","Thứ Sáu","17:30 to 00:00","Thứ Bảy","17:30 to 00:00","Chủ Nhật","17:30 to 00:00","Thứ Hai","17:30 to 00:00","Thứ Ba","17:30 to 00:00",,"104","Quận 4, Hồ Chí Minh","207 Tôn Đản","Cơm Gà , Nui Xào Bò 205",,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20G%C3%A0%20%2C%20Nui%20X%C3%A0o%20B%C3%B2%20205&query_place_id=ChIJAf1fLwAvdTERZ6v5XjpDJ0E",,"0"
"89 Vĩnh Khánh, Phường 10, Quận 4, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.7605305","106.707188","Thứ Tư","18:00 to 05:00","Thứ Năm","18:00 to 05:00","Thứ Sáu","18:00 to 05:00","Thứ Bảy","18:00 to 05:00","Chủ Nhật","18:00 to 05:00","Thứ Hai","18:00 to 05:00","Thứ Ba","18:00 to 05:00",,"100","Quận 4, Hồ Chí Minh","89 Vĩnh Khánh","Vú Heo Nướng Tiến Lên",,"https://www.google.com/maps/search/?api=1&query=V%C3%BA%20Heo%20N%C6%B0%E1%BB%9Bng%20Ti%E1%BA%BFn%20L%C3%AAn&query_place_id=ChIJRzugxlEvdTER4KLuOLYk2jg",,"0"
"171/69 Tôn Đản, Phường 14, Quận 4, Hồ Chí Minh, Việt Nam","Nhà hàng châu Á","true",,,"10.7580237","106.7066722",,,,,,,,,,,,,,,,"98","Quận 4, Hồ Chí Minh","171/69 Tôn Đản","Mì Sủi Cảo & Hoành Thánh & Bánh Canh - Ngọc Đăng - Tôn Đản","5","https://www.google.com/maps/search/?api=1&query=M%C3%AC%20S%E1%BB%A7i%20C%E1%BA%A3o%20%26%20Ho%C3%A0nh%20Th%C3%A1nh%20%26%20B%C3%A1nh%20Canh%20-%20Ng%E1%BB%8Dc%20%C4%90%C4%83ng%20-%20T%C3%B4n%20%C4%90%E1%BA%A3n&query_place_id=ChIJxfPf3H8vdTERoZ525mUuGZw",,"2"
