address,categoryName,claimThisBusiness,googleFoodUrl,hotelStars,location/lat,location/lng,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,price,rank,state,street,title,totalScore,url,website,reviewsCount
"2 Đ. Phù Đổng Thiên Vương, Phường 11, Quận 5, Hồ Chí Minh, Việt Nam",Nhà hàng bánh kếp,TRUE,,,10.7522212,106.6629322,Thứ Tư,15:00 to 20:00,Thứ Năm,15:00 to 20:00,Thứ Sáu,15:00 to 20:00,Thứ Bảy,15:00 to 20:00,Chủ Nhật,15:00 to 20:00,Thứ Hai,15:00 to 20:00,Thứ Ba,15:00 to 20:00,,71,"Quận 5, Hồ Chí Minh",2 Đ. Phù Đổng Thiên Vương,Chú bánh hẹ Chợ Xã Tây,4.5,https://www.google.com/maps/search/?api=1&query=Ch%C3%BA%20b%C3%A1nh%20h%E1%BA%B9%20Ch%E1%BB%A3%20X%C3%A3%20T%C3%A2y&query_place_id=ChIJTwqnCFsvdTERi1t47s-e5uU,,8
"412 Đ. Nguyễn Trãi, Phường 8, Quận 5, Hồ Chí Minh 700000, Việt Nam",Khách sạn,TRUE,,,10.7553788,106.6728986,,,,,,,,,,,,,,,,54,"Quận 5, Hồ Chí Minh",412 Đ. Nguyễn Trãi,Khách Sạn Như Phượng 2,3.6,https://www.google.com/maps/search/?api=1&query=Kh%C3%A1ch%20S%E1%BA%A1n%20Nh%C6%B0%20Ph%C6%B0%E1%BB%A3ng%202&query_place_id=ChIJLeVpBv0udTERTtfwTWxuLb8,,20
"No 10 Cao Dat - Tran Binh Trong Street, Phường 1, Quận 5, Hồ Chí Minh, Việt Nam",Khách sạn,TRUE,,Khách sạn 2 sao,10.7540481,106.6820544,,,,,,,,,,,,,,,,57,"Quận 5, Hồ Chí Minh",No 10 Cao Dat - Tran Binh Trong Street,Hera Halong Hotel,3,https://www.google.com/maps/search/?api=1&query=Hera%20Halong%20Hotel&query_place_id=ChIJX5grhgMvdTER_LBEeavQ8Cw,,3
"126 Đ. Hùng Vương, Phường 12, Quận 5, Hồ Chí Minh, Việt Nam",Nhà hàng Hàn Quốc,TRUE,,,10.755849,106.662619,Thứ Tư,10:30 to 22:00,Thứ Năm,10:30 to 22:00,Thứ Sáu,10:30 to 22:00,Thứ Bảy,10:30 to 22:00,Chủ Nhật,10:30 to 22:00,Thứ Hai,10:30 to 22:00,Thứ Ba,10:30 to 22:00,,75,"Quận 5, Hồ Chí Minh",126 Đ. Hùng Vương,Dookki,3.7,https://www.google.com/maps/search/?api=1&query=Dookki&query_place_id=ChIJJ3_33UYvdTERoHWsq_kmZ3I,,151
"206/23 Đ. Trần Hưng Đạo, Phường 11, Quận 5, Hồ Chí Minh, Việt Nam",Quán ăn nhỏ,TRUE,,,10.7531107,106.6661921,Thứ Tư,06:00 to 11:00,Thứ Năm,06:00 to 11:00,Thứ Sáu,06:00 to 11:00,Thứ Bảy,06:00 to 11:00,Chủ Nhật,06:00 to 11:00,Thứ Hai,06:00 to 11:00,Thứ Ba,06:00 to 11:00,,98,"Quận 5, Hồ Chí Minh",206/23 Đ. Trần Hưng Đạo,Hủ tiếu Minh Ký,4.4,https://www.google.com/maps/search/?api=1&query=H%E1%BB%A7%20ti%E1%BA%BFu%20Minh%20K%C3%BD&query_place_id=ChIJNYAxmZovdTERzVieLMh0eQk,,41
"25 Đ. An Dương Vương, Phường 8, Quận 5, Hồ Chí Minh, Việt Nam",Khách sạn,TRUE,,,10.7571586,106.673158,,,,,,,,,,,,,,,,105,"Quận 5, Hồ Chí Minh",25 Đ. An Dương Vương,Khách Sạn Thương Mại Tân Hy Vọng,,https://www.google.com/maps/search/?api=1&query=Kh%C3%A1ch%20S%E1%BA%A1n%20Th%C6%B0%C6%A1ng%20M%E1%BA%A1i%20T%C3%A2n%20Hy%20V%E1%BB%8Dng&query_place_id=ChIJTcGN1_wudTERxOAJMe1FVJ8,,0
"898 Hẻm 600 Nguyễn Trãi, Phường 8, Quận 5, Hồ Chí Minh, Việt Nam",Khách sạn,TRUE,,,10.7541548,106.6668912,,,,,,,,,,,,,,,,106,"Quận 5, Hồ Chí Minh",898 Hẻm 600 Nguyễn Trãi,Khách sạn sao mai,,https://www.google.com/maps/search/?api=1&query=Kh%C3%A1ch%20s%E1%BA%A1n%20sao%20mai&query_place_id=ChIJYQqGkVwvdTERhDIfbC4xIgM,,0
"009 lô F chung cư hùng vương, Phường 11, Quận 5, Hồ Chí Minh, Việt Nam",Khách sạn lưu trú dài hạn,TRUE,,,10.7542552,106.664777,,,,,,,,,,,,,,,,104,"Quận 5, Hồ Chí Minh",009 lô F chung cư hùng vương,Phòng cho thuê KIM NGỌC,,https://www.google.com/maps/search/?api=1&query=Ph%C3%B2ng%20cho%20thu%C3%AA%20KIM%20NG%E1%BB%8CC&query_place_id=ChIJIx4_vjkvdTERHDHVCZeckzU,,0
"391B, Đường Trần Phú, Phường 7, Quận 5, Phường 7, Quận 5, Hồ Chí Minh, Việt Nam",Khách sạn,TRUE,,,10.7541786,106.6702723,,,,,,,,,,,,,,,,102,"Quận 5, Hồ Chí Minh","391B, Đường Trần Phú, Phường 7, Quận 5",Nhà Cho Thuê Nguyễn Đức Phúc,,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20Cho%20Thu%C3%AA%20Nguy%E1%BB%85n%20%C4%90%E1%BB%A9c%20Ph%C3%BAc&query_place_id=ChIJkwXxivsudTERqlKjHrO3R5E,,0
"108 Trần Tuấn Khải, Phường 5, Quận 5, Hồ Chí Minh 72700, Việt Nam",Khách sạn,TRUE,,,10.7519468,106.6743763,,,,,,,,,,,,,,,,100,"Quận 5, Hồ Chí Minh",108 Trần Tuấn Khải,Khách Sạn Tokyo,5,https://www.google.com/maps/search/?api=1&query=Kh%C3%A1ch%20S%E1%BA%A1n%20Tokyo&query_place_id=ChIJNTdAcP4udTERLJid4eiCfQE,,1
