"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","phone","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"1184 Đ. Phạm Thế Hiển, Phường 5, Quận 8, Hồ Chí Minh, Việt Nam","Quán ăn nhỏ","true",,,,"10.742611","106.6646176",,,,,,,,,,,,,,,"+84 938 238 881",,"51","Quận 8, Hồ Chí Minh","1184 Đ. Phạm Thế Hiển","Hủ tíu Nam Vang Tân Ký",,"https://www.google.com/maps/search/?api=1&query=H%E1%BB%A7%20t%C3%ADu%20Nam%20Vang%20T%C3%A2n%20K%C3%BD&query_place_id=ChIJm3dZTgAvdTERrfTpvdLkFUo",,"0"
"Việt Nam, Hồ Chí Minh, Quận 8, 505/14 Ben Binh Dong, F13, Q.8, TP HCM","Nhà hàng","true",,,,"10.7456489","106.65674","Thứ Tư","08:00 to 21:00","Thứ Năm","08:00 to 21:00","Thứ Sáu","08:00 to 21:00","Thứ Bảy","08:00 to 21:00","Chủ Nhật","08:00 to 21:00","Thứ Hai","08:00 to 21:00","Thứ Ba","08:00 to 21:00","+84 28 7309 3636",,"39","Quận 8, Hồ Chí Minh","505/14 Ben Binh Dong, F13, Q.8, TP HCM","Cty THNN Vinh Co",,"https://www.google.com/maps/search/?api=1&query=Cty%20THNN%20Vinh%20Co&query_place_id=ChIJlczjG18udTERF_BXL5rZrXg","http://www.vcptw.com/","0"
"487 Đ. Bình Đông, Phường 13, Quận 8, Thành phố Hồ Chí Minh, Việt Nam","Nhà hàng chuyên phục vụ bữa sáng","true",,,,"10.7465668","106.6566363",,,,,,,,,,,,,,,,,"72","Quận 8, Thành phố Hồ Chí Minh","487 Đ. Bình Đông","Hủ tiếu mì Chợ Lớn - 堤岸粉麵","5","https://www.google.com/maps/search/?api=1&query=H%E1%BB%A7%20ti%E1%BA%BFu%20m%C3%AC%20Ch%E1%BB%A3%20L%E1%BB%9Bn%20-%20%E5%A0%A4%E5%B2%B8%E7%B2%89%E9%BA%B5&query_place_id=ChIJYY25OAgvdTERoS71rgfB2qQ",,"1"
"157 Đ. Tuy Lý Vương, Phường 12, Quận 8, Hồ Chí Minh, Việt Nam","Quán ăn nhẹ","false",,,,"10.743137","106.65371","Thứ Tư","11:00 to 22:00","Thứ Năm","11:00 to 22:00","Thứ Sáu","11:00 to 22:00","Thứ Bảy","11:00 to 22:00","Chủ Nhật","11:00 to 22:00","Thứ Hai","11:00 to 22:00","Thứ Ba","11:00 to 22:00","+84 949 089 689",,"62","Quận 8, Hồ Chí Minh","157 Đ. Tuy Lý Vương","Quán bò lá lốt 157",,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20b%C3%B2%20l%C3%A1%20l%E1%BB%91t%20157&query_place_id=ChIJs4NBRGcvdTERrncbtI0Fvis",,"0"
"102 Đ.Nguyễn Chế Nghĩa, Phường 12, Quận 8, Thành phố Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,,"10.7428825","106.6534844",,,,,,,,,,,,,,,,,"71","Quận 8, Thành phố Hồ Chí Minh","102 Đ.Nguyễn Chế Nghĩa","Mì Vịt Tiềm Trung Hoa","4.5","https://www.google.com/maps/search/?api=1&query=M%C3%AC%20V%E1%BB%8Bt%20Ti%E1%BB%81m%20Trung%20Hoa&query_place_id=ChIJD5CHCF4udTERmos8BfO7T9Q",,"2"
"390 Tùng thiện vương F13,Q8, 390A Đ.Tùng Thiện Vương, Phường 13, Quận 8, Hồ Chí Minh, Việt Nam","Quầy bánh mì kẹp xúc xích","false",,,,"10.744953","106.657043","Thứ Tư","15:30 to 22:30","Thứ Năm","06:00 to 23:00","Thứ Sáu","06:00 to 23:00","Thứ Bảy","06:00 to 23:00","Chủ Nhật","04:30 to 23:00","Thứ Hai","06:00 to 22:30","Thứ Ba","15:30 to 23:00","+84 988 273 796",,"61","Quận 8, Hồ Chí Minh","390 Tùng thiện vương F13,Q8, 390A Đ.Tùng Thiện Vương","HÁ CẢO,BÁNH BAO,BÁNH MÌ 390",,"https://www.google.com/maps/search/?api=1&query=H%C3%81%20C%E1%BA%A2O%2CB%C3%81NH%20BAO%2CB%C3%81NH%20M%C3%8C%20390&query_place_id=ChIJveh4ncovdTERpze55a5B-w0",,"0"
"613 Cầu Nhị Thiên Đường, Phường 12, Quận 8, Hồ Chí Minh, Việt Nam","Cửa hàng bán pizza mang về","true",,,,"10.7429996","106.6556841",,,,,,,,,,,,,,,,,"60","Quận 8, Hồ Chí Minh","613 Cầu Nhị Thiên Đường","Pizza",,"https://www.google.com/maps/search/?api=1&query=Pizza&query_place_id=ChIJNU_HEAAvdTERoKvB14PGEXY",,"0"
"20/3 Đ. Phong Phú, Phường 12, Quận 8, Hồ Chí Minh, Việt Nam","Nhà hàng chuyên phục vụ bữa sáng","true",,,,"10.7457755","106.6600926",,,,,,,,,,,,,,,,,"59","Quận 8, Hồ Chí Minh","20/3 Đ. Phong Phú","Cơm tấm ngon",,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20t%E1%BA%A5m%20ngon&query_place_id=ChIJdUV2BFAvdTERuqkyYTMchsY",,"0"
"746 Đ. Nguyễn Duy, Phường 12, Quận 8, Hồ Chí Minh, Việt Nam","Trà trân châu","false",,,,"10.7429307","106.6585222","Thứ Tư","13:00 to 21:00","Thứ Năm","13:00 to 21:00","Thứ Sáu","13:00 to 21:00","Thứ Bảy","13:00 to 21:00","Chủ Nhật","13:00 to 21:00","Thứ Hai","13:00 to 21:00","Thứ Ba","13:00 to 21:00","+84 932 085 827",,"53","Quận 8, Hồ Chí Minh","746 Đ. Nguyễn Duy","Trà Sữa Nhà Làm Chị Mén ( Fulltopping )","5","https://www.google.com/maps/search/?api=1&query=Tr%C3%A0%20S%E1%BB%AFa%20Nh%C3%A0%20L%C3%A0m%20Ch%E1%BB%8B%20M%C3%A9n%20(%20Fulltopping%20)&query_place_id=ChIJyen4TXAvdTERb_pGQKOJfwo",,"2"
"1438 Đ. Phạm Thế Hiển, Phường 5, Quận 8, Hồ Chí Minh, Việt Nam","Nhà hàng gia đình","true",,,,"10.7413496","106.6581661","Thứ Tư","13:31 to 13:32","Thứ Năm","13:31 to 13:32","Thứ Sáu","13:31 to 13:32","Thứ Bảy","13:31 to 13:32","Chủ Nhật","13:31 to 13:32","Thứ Hai","13:31 to 13:32","Thứ Ba","13:31 to 13:32",,,"48","Quận 8, Hồ Chí Minh","1438 Đ. Phạm Thế Hiển","Quán ăn Tâm Ký","4","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20%C4%83n%20T%C3%A2m%20K%C3%BD&query_place_id=ChIJOSFLVZYvdTERC-L4ppnvnS0",,"1"
