"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","phone","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"27 Đ. Nguyễn Tư Nghiêm, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.785254","106.7628577","Thứ Năm","07:00 to 22:00","Thứ Sáu","07:00 to 22:00","Thứ Bảy","07:00 to 22:00","Chủ Nhật","07:00 to 22:00","Thứ Hai","07:00 to 22:00","Thứ Ba","07:00 to 22:00","Thứ Tư","07:00 to 22:00",,,"19","Quận 2, Hồ Chí Minh","27 Đ. Nguyễn Tư Nghiêm","MyLan's Treasure","5","https://www.google.com/maps/search/?api=1&query=MyLan's%20Treasure&query_place_id=ChIJQWFgQwAldTERThdszCflMpY",,"5"
"9/159 Đ. Võ Nguyên Giáp, Phường Tân Phú, Quận 9, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.8628194","106.8016382","Thứ Năm","08:00 to 18:00","Thứ Sáu","08:00 to 18:00","Thứ Bảy","08:00 to 18:00","Chủ Nhật","08:00 to 18:00","Thứ Hai","08:00 to 18:00","Thứ Ba","08:00 to 18:00","Thứ Tư","08:00 to 18:00",,,"16","Quận 9, Hồ Chí Minh","9/159 Đ. Võ Nguyên Giáp","ÂM CUNG ĐỆ NHẤT CUNG ĐÌNH TỬU","4.3","https://www.google.com/maps/search/?api=1&query=%C3%82M%20CUNG%20%C4%90%E1%BB%86%20NH%E1%BA%A4T%20CUNG%20%C4%90%C3%8CNH%20T%E1%BB%ACU&query_place_id=ChIJj9dKa9IndTER7x2JlfW5xEA",,"3"
"32/5 Bình Quới, Phường 28, Bình Thạnh, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.815161","106.7499239",,,,,,,,,,,,,,,,,"18","Bình Thạnh, Hồ Chí Minh","32/5 Bình Quới","Bờ kè đình Bình Quới Tây","4","https://www.google.com/maps/search/?api=1&query=B%E1%BB%9D%20k%C3%A8%20%C4%91%C3%ACnh%20B%C3%ACnh%20Qu%E1%BB%9Bi%20T%C3%A2y&query_place_id=ChIJJRrwANYndTERII3s9z8q6cg",,"4"
"RVH6+H3C, Long Phước, Quận 9, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.8289493","106.8601463",,,,,,,,,,,,,,,,,"15","Quận 9, Hồ Chí Minh","RVH6+H3C","EcoLand family Long Phuoc",,"https://www.google.com/maps/search/?api=1&query=EcoLand%20family%20Long%20Phuoc&query_place_id=ChIJU4olxBIhdTERWw7dPn-rFhE",,"0"
"67/35 Đ. 38, Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.8426939","106.734747",,,,,,,,,,,,,,,,,"20","Thủ Đức, Hồ Chí Minh","67/35 Đ. 38","VNWIN Homestay",,"https://www.google.com/maps/search/?api=1&query=VNWIN%20Homestay&query_place_id=ChIJA2DtXAAndTER3uTly7ue4qc",,"0"
"43 Đ. 120, Phường Tân Phú, Quận 9, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.8657687","106.804409",,,,,,,,,,,,,,,,,"11","Quận 9, Hồ Chí Minh","43 Đ. 120","Cóc thần","5","https://www.google.com/maps/search/?api=1&query=C%C3%B3c%20th%E1%BA%A7n&query_place_id=ChIJd1HKvasndTERK8vFVKNcZfg",,"2"
"VR53+G5J, Phường Tân Phú, Quận 9, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.8588428","106.8028878","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày","Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày","+84 901 255 875",,"12","Quận 9, Hồ Chí Minh","VR53+G5J","Suoi Tien Farm ( Nhà trung tâm)","3.7","https://www.google.com/maps/search/?api=1&query=Suoi%20Tien%20Farm%20(%20Nh%C3%A0%20trung%20t%C3%A2m)&query_place_id=ChIJVWmQq_UndTERr924nY-Thrg",,"19"
"147 Tăng Nhơn Phú, Phước Long B, Thủ Đức, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","false",,,,"10.8310881","106.7751816","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày","Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày","+84 909 234 247",,"14","Thủ Đức, Hồ Chí Minh","147 Tăng Nhơn Phú","Xuân Khánh Quê Tôi!",,"https://www.google.com/maps/search/?api=1&query=Xu%C3%A2n%20Kh%C3%A1nh%20Qu%C3%AA%20T%C3%B4i!&query_place_id=ChIJOSBV9MgndTERpvAZPgMc2os",,"0"
"RRPR+X8V, Đ. Nguyễn Xiển, Long Bình, Thủ Đức, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.8374881","106.8407874",,,,,,,,,,,,,,,,,"7","Thủ Đức, Hồ Chí Minh","RRPR+X8V, Đ. Nguyễn Xiển","Hồ Tình Yêu - Vinhomes Grand Park","5","https://www.google.com/maps/search/?api=1&query=H%E1%BB%93%20T%C3%ACnh%20Y%C3%AAu%20-%20Vinhomes%20Grand%20Park&query_place_id=ChIJb-h4cwAhdTER-0_rri5Aowg",,"5"
"28 Đ. Thảo Điền, Thảo Điền, Quận 2, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,,"10.8066802","106.7383904",,,,,,,,,,,,,,,,,"12","Quận 2, Hồ Chí Minh","28 Đ. Thảo Điền","Beyond Barriers Exhibition",,"https://www.google.com/maps/search/?api=1&query=Beyond%20Barriers%20Exhibition&query_place_id=ChIJ9YQWagAndTERDkxXfDbjyDI",,"0"
