"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","phone","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"RJFH+6VM, Phường 15, Thành phố Hồ Chí Minh, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,"10.8230989","106.6296638",,,,,,,,,,,,,,,,,"19","Thành phố Hồ Chí Minh, Hồ Chí Minh","RJFH+6VM","Saigon Princess Cruise","5","https://www.google.com/maps/search/?api=1&query=Saigon%20Princess%20Cruise&query_place_id=ChIJsyS6BwApdTERHKSE18OggWA",,"2"
"154/1 Đ. Trần Thị Trọng, Phường 15, Tân Bình, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,"10.8269674","106.6397109",,,,,,,,,,,,,,,,,"8","Tân Bình, Hồ Chí Minh","154/1 Đ. Trần Thị Trọng","Coffee tours",,"https://www.google.com/maps/search/?api=1&query=Coffee%20tours&query_place_id=ChIJ1ZCd2nopdTER-76CsFvUhuk",,"0"
"Nguyễn Thanh Tuyền, Str, Tân Bình, Hồ Chí Minh 700000, Việt Nam","Điểm thu hút khách du lịch","false",,,"10.7976846","106.6611986","Thứ Tư","Mở cửa cả ngày","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày","Thứ Ba","Mở cửa cả ngày","+84 888 881 864",,"5","Tân Bình, Hồ Chí Minh","Nguyễn Thanh Tuyền","Thien Bao Ltd.",,"https://www.google.com/maps/search/?api=1&query=Thien%20Bao%20Ltd.&query_place_id=ChIJ27EgnVspdTERzvqD0SI_yh0",,"0"
"364 Đ. Cộng Hòa, Phường 13, Tân Bình, Hồ Chí Minh 70000, Việt Nam","Điểm thu hút khách du lịch","true",,,"10.8022893","106.640655","Thứ Tư","Đóng cửa","Thứ Năm","Đóng cửa","Thứ Sáu","Đóng cửa","Thứ Bảy","Đóng cửa","Chủ Nhật","09:00 to 18:00","Thứ Hai","09:00 to 18:00","Thứ Ba","09:00 to 18:00","+82 10-1112-1212",,"4","Tân Bình, Hồ Chí Minh","364 Đ. Cộng Hòa","Ikorn solution 2",,"https://www.google.com/maps/search/?api=1&query=Ikorn%20solution%202&query_place_id=ChIJwX7WXPwpdTERLGDv8pDtdNg",,"0"
"38A Lê Văn Huân, Phường 13, Tân Bình, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,"10.8038427","106.640928",,,,,,,,,,,,,,,"+84 936 460 621",,"2","Tân Bình, Hồ Chí Minh","38A Lê Văn Huân","Lộc An 16 Homestay","5","https://www.google.com/maps/search/?api=1&query=L%E1%BB%99c%20An%2016%20Homestay&query_place_id=ChIJX5-fu9gpdTERv97_Tbo-Zr0",,"2"
"242 Đ. Trường Chinh, Phường 13, Tân Bình, Hồ Chí Minh 700000, Việt Nam","Đại lý du lịch bằng máy bay trực thăng","false",,,"10.7972898","106.6453784","Thứ Tư","14:00 to 21:30","Thứ Năm","14:00 to 21:30","Thứ Sáu","14:00 to 21:30","Thứ Bảy","14:00 to 21:00","Chủ Nhật","14:00 to 21:30","Thứ Hai","14:00 to 21:30","Thứ Ba","14:00 to 21:00","+84 28 3810 1547",,"21","Tân Bình, Hồ Chí Minh","242 Đ. Trường Chinh","Đại Lý Gas Công Thành",,"https://www.google.com/maps/search/?api=1&query=%C4%90%E1%BA%A1i%20L%C3%BD%20Gas%20C%C3%B4ng%20Th%C3%A0nh&query_place_id=ChIJc3ZZGEwpdTERc4OxoPrCpCE",,"0"
"RJFH+6VM, Phường 15, Thành phố Hồ Chí Minh, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,"10.8230989","106.6296638",,,,,,,,,,,,,,,,,"3","Thành phố Hồ Chí Minh, Hồ Chí Minh","RJFH+6VM","انفاق كوتشي",,"https://www.google.com/maps/search/?api=1&query=%D8%A7%D9%86%D9%81%D8%A7%D9%82%20%D9%83%D9%88%D8%AA%D8%B4%D9%8A&query_place_id=ChIJ6XxiKgApdTERTeN3S-voWeE",,"0"
"367 Đ. Tân Sơn, Phường 15, Tân Bình, Hồ Chí Minh 70000, Việt Nam","Nhà điều hành du lịch","false",,,"10.8274467","106.6420776","Thứ Tư","08:00 to 17:00","Thứ Năm","08:00 to 17:00","Thứ Sáu","08:00 to 17:00","Thứ Bảy","08:00 to 16:00","Chủ Nhật","Đóng cửa","Thứ Hai","08:00 to 17:00","Thứ Ba","08:00 to 17:00","+84 911 222 288",,"21","Tân Bình, Hồ Chí Minh","367 Đ. Tân Sơn","Công ty CP Xây dựng Du lịch Hải Đăng","4.1","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20ty%20CP%20X%C3%A2y%20d%E1%BB%B1ng%20Du%20l%E1%BB%8Bch%20H%E1%BA%A3i%20%C4%90%C4%83ng&query_place_id=ChIJQxgyIrMudTERSNIjUSdTvlI","https://haidangtravel.com/","98"
"161 Đ. Cộng Hòa, Phường 12, Tân Bình, Hồ Chí Minh, Việt Nam","Văn phòng công ty","true",,,"10.8015961","106.6488567","Thứ Tư","07:00 to 19:00","Thứ Năm","07:00 to 19:00","Thứ Sáu","07:00 to 19:00","Thứ Bảy","07:00 to 19:00","Chủ Nhật","07:00 to 19:00","Thứ Hai","07:00 to 19:00","Thứ Ba","07:00 to 19:00",,,"40","Tân Bình, Hồ Chí Minh","161 Đ. Cộng Hòa","Thầy phong thủy Tuấn Thịnh","5","https://www.google.com/maps/search/?api=1&query=Th%E1%BA%A7y%20phong%20th%E1%BB%A7y%20Tu%E1%BA%A5n%20Th%E1%BB%8Bnh&query_place_id=ChIJxY5wsiwpdTERsoBb0JJNEW0",,"2"
"Toà Nhà 364, Đ. Trường Chinh, Phường 13, Tân Bình, Hồ Chí Minh, Việt Nam","Hiệu sách","false",,,"10.7998267","106.6411271","Thứ Tư","08:00 to 22:00","Thứ Năm","08:00 to 22:00","Thứ Sáu","08:00 to 22:00","Thứ Bảy","08:00 to 22:00","Chủ Nhật","08:00 to 22:00","Thứ Hai","08:00 to 22:00","Thứ Ba","08:00 to 22:00",,,"42","Tân Bình, Hồ Chí Minh","Toà Nhà 364, Đ. Trường Chinh","Nhà Sách Tân Bình","4.4","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20S%C3%A1ch%20T%C3%A2n%20B%C3%ACnh&query_place_id=ChIJ35IsJk4pdTERFrWswymstXI","http://fahasasg.com.vn/","2824"
