"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","phone","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"Số 8 Lô F, 295 Đ. Tân Kỳ Tân Quý, Tân Sơn Nhì, Tân Phú, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,"10.8015441","106.6261685","Thứ Năm","08:00 to 18:00","Thứ Sáu","08:00 to 18:00","Thứ Bảy","08:00 to 18:00","Chủ Nhật","08:00 to 18:00","Thứ Hai","08:00 to 18:00","Thứ Ba","08:00 to 18:00","Thứ Tư","08:00 to 18:00","+84 909 436 566",,"10","Tân Phú, Hồ Chí Minh","Số 8 Lô F, 295 Đ. Tân Kỳ Tân Quý","Trung tâm sửa vali chuyên nghiệp Relug Chi nhánh tp Hồ Chí Minh",,"https://www.google.com/maps/search/?api=1&query=Trung%20t%C3%A2m%20s%E1%BB%ADa%20vali%20chuy%C3%AAn%20nghi%E1%BB%87p%20Relug%20Chi%20nh%C3%A1nh%20tp%20H%E1%BB%93%20Ch%C3%AD%20Minh&query_place_id=ChIJNWpMOuMrdTERlJbF9X4o4K0",,"0"
"69 Đường N1, Celadon City, Tân Phú, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,"10.8036473","106.6148857",,,,,,,,,,,,,,,,,"3","Tân Phú, Hồ Chí Minh","69 Đường N1","Thác nước Diamond Alnata","3.8","https://www.google.com/maps/search/?api=1&query=Th%C3%A1c%20n%C6%B0%E1%BB%9Bc%20Diamond%20Alnata&query_place_id=ChIJyx28kg4rdTERI3ZlBk160-A",,"4"
"218 Đ. Tân Kỳ Tân Quý, Tân Quý, Tân Phú, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","false",,,"10.7905731","106.6203312","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày","Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày","+84 918 222 174",,"17","Tân Phú, Hồ Chí Minh","218 Đ. Tân Kỳ Tân Quý","Đội nhạc kèn kỷ lục Thế Giới - Võ Thành Trang Marching Band","5","https://www.google.com/maps/search/?api=1&query=%C4%90%E1%BB%99i%20nh%E1%BA%A1c%20k%C3%A8n%20k%E1%BB%B7%20l%E1%BB%A5c%20Th%E1%BA%BF%20Gi%E1%BB%9Bi%20-%20V%C3%B5%20Th%C3%A0nh%20Trang%20Marching%20Band&query_place_id=ChIJ-VmiseEtdTERViwg-CHjQAY","https://vietnammarchingband.com/","24"
"QJX7+859, Sơn Kỳ, Tân Phú, Hồ Chí Minh 76000, Việt Nam","Điểm thu hút khách du lịch","true",,,"10.7982869","106.6129863",,,,,,,,,,,,,,,"+84 968 659 631",,"10","Tân Phú, Hồ Chí Minh","QJX7+859","Кольская сверхглубокая скважина",,"https://www.google.com/maps/search/?api=1&query=%D0%9A%D0%BE%D0%BB%D1%8C%D1%81%D0%BA%D0%B0%D1%8F%20%D1%81%D0%B2%D0%B5%D1%80%D1%85%D0%B3%D0%BB%D1%83%D0%B1%D0%BE%D0%BA%D0%B0%D1%8F%20%D1%81%D0%BA%D0%B2%D0%B0%D0%B6%D0%B8%D0%BD%D0%B0&query_place_id=ChIJ_5wZCb4rdTERw20QLaByMck",,"0"
"89/26 Trịnh Đình Trọng, Phú Trung, Tân Phú, Hồ Chí Minh, Việt Nam","Điểm thu hút khách du lịch","true",,,"10.7744929","106.6421402","Thứ Năm","08:00 to 22:00","Thứ Sáu","08:00 to 22:00","Thứ Bảy","08:00 to 22:00","Chủ Nhật","08:00 to 22:00","Thứ Hai","08:00 to 22:00","Thứ Ba","08:00 to 22:00","Thứ Tư","08:00 to 22:00",,,"7","Tân Phú, Hồ Chí Minh","89/26 Trịnh Đình Trọng","Hồ Câu Tôm Thành Công","5","https://www.google.com/maps/search/?api=1&query=H%E1%BB%93%20C%C3%A2u%20T%C3%B4m%20Th%C3%A0nh%20C%C3%B4ng&query_place_id=ChIJeTy4xxsvdTERLvTckF0zTxI",,"19"
"26 Đ. Tân Kỳ Tân Quý, Phường 14, Tân Bình, Hồ Chí Minh 700000, Việt Nam","Điểm thu hút khách du lịch","true",,,"10.8030035","106.6347773",,,,,,,,,,,,,,,,,"2","Tân Bình, Hồ Chí Minh","26 Đ. Tân Kỳ Tân Quý","Mộ Bà Quẹo","4","https://www.google.com/maps/search/?api=1&query=M%E1%BB%99%20B%C3%A0%20Qu%E1%BA%B9o&query_place_id=ChIJJ0QJ6J4pdTERjKnW1B6Xl4s",,"2"
"139 Đ. Phú Thọ Hòa, Phú Thọ Hoà, Tân Phú, Hồ Chí Minh, Việt Nam","Điểm mốc lịch sử","true",,,"10.7839182","106.6309033","Thứ Năm","08:00 to 17:00","Thứ Sáu","08:00 to 17:00","Thứ Bảy","08:00 to 17:00","Chủ Nhật","08:00 to 17:00","Thứ Hai","08:00 to 17:00","Thứ Ba","08:00 to 17:00","Thứ Tư","08:00 to 17:00","+84 28 3978 9431",,"3","Tân Phú, Hồ Chí Minh","139 Đ. Phú Thọ Hòa","Địa đạo Phú Thọ Hòa","4.1","https://www.google.com/maps/search/?api=1&query=%C4%90%E1%BB%8Ba%20%C4%91%E1%BA%A1o%20Ph%C3%BA%20Th%E1%BB%8D%20H%C3%B2a&query_place_id=ChIJYyEmRKgudTEReHDoA6QyCRw",,"264"
"316 Đ. Tân Sơn Nhì, Tân Sơn Nhì, Tân Phú, Hồ Chí Minh, Việt Nam","Bãi đỗ xe","true",,,"10.7968768","106.6305341","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày","Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày","+84 934 364 138",,"36","Tân Phú, Hồ Chí Minh","316 Đ. Tân Sơn Nhì","Bãi Xe 316","5","https://www.google.com/maps/search/?api=1&query=B%C3%A3i%20Xe%20316&query_place_id=ChIJ9waa9hcpdTERX1t-qM4Xo9Q",,"3"
"264 Đ. Độc Lập, Tân Quý, Tân Phú, Hồ Chí Minh, Việt Nam","Cửa hàng tiện lợi","false",,,"10.7929803","106.6290326","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày","Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày",,,"37","Tân Phú, Hồ Chí Minh","264 Đ. Độc Lập","Circle K","3","https://www.google.com/maps/search/?api=1&query=Circle%20K&query_place_id=ChIJL9iAQLgtdTERrzm3PPQusSk","https://www.circlek.com.vn/en/store-locator/","33"
"456A Đ. Tân Sơn Nhì, Tân Sơn Nhì, Tân Phú, Hồ Chí Minh 700000, Việt Nam","Nhà hàng pizza","false","https://food.google.com/chooseprovider?restaurantId=/g/11c33w67jp&g2lbs=AOHF13n1KdTJkVuk3bxoFoDrc5GICwUQvB3nR6jBqkM5bPSirRgI9tSXBVm9XwzTusfIschb4LhBtavg8c0w96_VrJmwsrxSXePI9JSouR97vgsxiIS2GAU%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=OJJzZvGNNr31kPIP0rSKsAM&ei=OJJzZvGNNr31kPIP0rSKsAM&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.793524","106.6283749","Thứ Năm","10:00 to 22:00","Thứ Sáu","10:00 to 22:00","Thứ Bảy","10:00 to 22:00","Chủ Nhật","10:00 to 22:00","Thứ Hai","10:00 to 22:00","Thứ Ba","10:00 to 22:00","Thứ Tư","10:00 to 22:00","+84 1900 6066","$$","38","Tân Phú, Hồ Chí Minh","456A Đ. Tân Sơn Nhì","The Pizza Company Tân Sơn Nhì","4.3","https://www.google.com/maps/search/?api=1&query=The%20Pizza%20Company%20T%C3%A2n%20S%C6%A1n%20Nh%C3%AC&query_place_id=ChIJ91-B8P8rdTERG3BYCUNZ2fI","http://www.thepizzacompany.vn/","547"
