Địa chỉ,Loại hình chi tiết,Sao khách sạn,Vĩ độ,Kinh độ,Quận/Huyện,Tên địa điểm,Số sao trung bình,Số lượt đánh giá,Loại hình,Giờ mở cửa,Giờ đóng cửa,Tổng giờ hoạt động
"127 Đ. Trần Thị Trọng, Phường 15, Gò Vấp, Hồ Chí Minh, Việt Nam",Quán ăn nhẹ,,10.8272175,106.6381988,Gò Vấp,Ốc Hải Sản Anh Bảy | Quán Ốc Tân Bình,,0,Nhà hàng/ địa điểm ăn uống,0,1,1
"160/57/34A Nguyễn Văn Quỳ, Phú Thuận, Quận 7, Hồ Chí Minh 700000, Việt Nam",Nhà hàng ẩm thực đồng quê,,10.7388289,106.7358889,Quận 7,Nấu ăn Phương Trinh,,0,Nhà hàng/ địa điểm ăn uống,0,6,6
"69A Trịnh Đình Trọng, Phú Trung, Tân Phú, Hồ Chí Minh, Việt Nam",Nhà hàng ăn nhanh,,10.775039,106.6430792,Tân Phú,A Thủy - Bánh tráng trứng lòng đào,4,1,Nhà hàng/ địa điểm ăn uống,0,6,6
"335 Đoàn Văn Bơ, Phường 16, Quận 4, Hồ Chí Minh, Việt Nam",Nhà hàng hải sản,,10.7609663,106.7075909,Quận 4,Quán ốc 335,4.3,3,Nhà hàng/ địa điểm ăn uống,0,6,6
"154/5 Nguyễn Phúc Chu, Phường 15, Tân Bình, Hồ Chí Minh, Việt Nam",Quán bia,,10.8228656,106.6364433,Tân Bình,Xuyên Đêm Quán,5,3,Nhà hàng/ địa điểm ăn uống,0,6,6
"218 Đ. Song Hành, Tân Xuân, Hóc Môn, Hồ Chí Minh 700000, Việt Nam",Nhà hàng,,10.8702587,106.5991875,Hóc Môn,Hủ tiếu gần đây - Cô Sáu Song Hành,5,1,Nhà hàng/ địa điểm ăn uống,0,6,6
"MH8C+8JQ, QL1A, Bình Chánh, Hồ Chí Minh, Việt Nam",Nhà hàng,,10.6659137,106.5714427,Bình Chánh,Mì Gia CHUNG KÝ,4,1,Nhà hàng/ địa điểm ăn uống,0,6,6
"48 Đ. Số 2, khu Dân Cư, Quận 8, Hồ Chí Minh, Việt Nam",Nhà hàng châu Á,,10.6986998,106.6110665,Quận 8,Hủ Tiếu Tâm Ký,,0,Nhà hàng/ địa điểm ăn uống,0,6,6
"335, 335-337 Đ. Hùng Vương, Phường 9, Quận 5, Hồ Chí Minh 70000, Việt Nam",Nhà hàng hải sản,,10.7576214,106.6697238,Quận 5,Hồng Bang Chủ Restaurant,5,3,Nhà hàng/ địa điểm ăn uống,0,6,6
"723 Đ. Lê Hồng Phong, Phường 12, Quận 10, Hồ Chí Minh, Việt Nam",Nhà hàng ăn nhanh,,10.7713517,106.6726678,Quận 10,Cá viên chiên cô Út,5,1,Nhà hàng/ địa điểm ăn uống,0,6,6
